Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
POR,POR @ GSW,2017-04-16,L,240,109,40,93,0.430,11,30,0.367,18,22,0.818,11,27,38,15,8,3,15,25,-12
GSW,GSW vs. POR,2017-04-16,W,240,121,43,81,0.531,11,27,0.407,24,28,0.857,9,36,45,26,7,10,16,24,12
MIL,MIL @ TOR,2017-04-15,W,240,97,38,85,0.447,9,23,0.391,12,15,0.800,9,34,43,22,5,5,5,23,14
TOR,TOR vs. MIL,2017-04-15,L,240,83,27,75,0.360,5,23,0.217,24,33,0.727,8,39,47,15,3,4,11,21,-14
UTA,UTA @ LAC,2017-04-15,W,240,97,38,79,0.481,8,19,0.421,13,19,0.684,6,28,34,21,7,4,13,19,2
LAC,LAC vs. UTA,2017-04-15,L,240,95,36,81,0.444,8,24,0.333,15,17,0.882,8,32,40,20,6,4,15,18,-2
IND,IND @ CLE,2017-04-15,L,240,108,40,81,0.494,11,24,0.458,17,20,0.850,12,29,41,21,6,1,13,25,-1
CLE,CLE vs. IND,2017-04-15,W,240,109,42,78,0.538,11,28,0.393,14,27,0.519,10,24,34,26,7,2,11,19,1
SAS,SAS vs. MEM,2017-04-15,W,240,111,41,76,0.539,10,19,0.526,19,25,0.760,8,34,42,16,4,11,10,20,29
MEM,MEM @ SAS,2017-04-15,L,240,82,31,79,0.392,7,20,0.350,13,17,0.765,8,27,35,17,7,6,9,20,-29
