Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ HOU,2014-04-14,L,240,98,39,89,0.438,4,17,0.235,16,18,0.889,8,35,43,24,3,2,6,23,-6
MEM,MEM @ PHX,2014-04-14,W,240,97,40,77,0.519,6,15,0.400,11,15,0.733,10,32,42,20,5,1,19,18,6
PHX,PHX vs. MEM,2014-04-14,L,240,91,38,80,0.475,5,26,0.192,10,14,0.714,8,22,30,15,12,6,12,20,-6
CHI,CHI vs. ORL,2014-04-14,W,240,108,39,77,0.506,5,13,0.385,25,32,0.781,8,28,36,27,8,3,9,19,13
ORL,ORL @ CHI,2014-04-14,L,240,95,36,72,0.500,7,15,0.467,16,19,0.842,4,28,32,26,4,6,20,27,-13
MIN,MIN @ GSW,2014-04-14,L,240,120,43,81,0.531,8,15,0.533,26,33,0.788,10,33,43,37,7,3,21,16,-10
GSW,GSW vs. MIN,2014-04-14,W,240,130,49,101,0.485,15,37,0.405,17,19,0.895,19,32,51,31,13,4,15,27,10
PHI,PHI vs. BOS,2014-04-14,W,240,113,43,79,0.544,3,12,0.250,24,38,0.632,9,33,42,25,10,8,14,21,5
BOS,BOS @ PHI,2014-04-14,L,240,108,40,86,0.465,9,24,0.375,19,26,0.731,12,28,40,26,8,4,19,23,-5
SAC,SAC vs. MIN,2014-04-13,W,240,106,41,82,0.500,6,17,0.353,18,27,0.667,8,39,47,25,6,6,15,23,3
MIN,MIN @ SAC,2014-04-13,L,240,103,35,88,0.398,7,22,0.318,26,30,0.867,10,31,41,26,6,5,10,20,-3
IND,IND vs. OKC,2014-04-13,W,240,102,38,72,0.528,9,20,0.450,17,23,0.739,10,36,46,23,3,4,23,21,5
OKC,OKC @ IND,2014-04-13,L,240,97,36,84,0.429,7,28,0.250,18,19,0.947,8,24,32,21,12,4,9,24,-5
POR,POR vs. GSW,2014-04-13,W,265,119,43,86,0.500,10,24,0.417,23,32,0.719,7,39,46,26,7,3,14,12,2
GSW,GSW @ POR,2014-04-13,L,265,117,44,91,0.484,17,37,0.459,12,16,0.750,6,32,38,22,10,0,15,27,-2
TOR,TOR @ DET,2014-04-13,W,240,116,39,81,0.481,9,23,0.391,29,35,0.829,8,32,40,22,8,6,10,35,9
DET,DET vs. TOR,2014-04-13,L,240,107,35,84,0.417,5,20,0.250,32,48,0.667,21,34,55,25,6,4,15,29,-9
BKN,BKN vs. ORL,2014-04-13,W,240,97,34,73,0.466,12,29,0.414,17,23,0.739,14,29,43,23,11,5,23,16,9
