Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
CHA,2018-11-09,L,Away,PHI133-132CHA,0.391,43,110,0.400,16,40,0.750,30,40,49,14,35,25,10,5,7,33,132
MIN,2018-11-09,L,Away,SAC121-110MIN,0.415,39,94,0.280,7,25,0.806,25,31,52,15,37,20,6,1,17,23,110
SAC,2018-11-09,W,Home,MIN110-121SAC,0.453,43,95,0.375,12,32,0.793,23,29,49,12,37,25,7,6,13,29,121
DEN,2018-11-09,L,Home,BKN112-110DEN,0.460,40,87,0.278,5,18,0.735,25,34,54,15,39,20,3,5,13,28,110
BKN,2018-11-09,W,Away,DEN110-112BKN,0.409,36,88,0.364,12,33,0.667,28,42,42,12,30,21,7,9,8,24,112
UTA,2018-11-09,W,Home,BOS115-123UTA,0.558,43,77,0.382,13,34,0.800,24,30,45,8,37,29,4,4,17,21,123
BOS,2018-11-09,L,Away,UTA123-115BOS,0.443,39,88,0.395,17,43,0.909,20,22,28,5,23,31,11,3,8,20,115
PHI,2018-11-09,W,Home,CHA132-133PHI,0.479,45,94,0.324,12,37,0.756,31,41,59,13,46,33,3,15,17,33,133
ATL,2018-11-09,L,Home,DET124-109ATL,0.456,36,79,0.250,7,28,0.750,30,40,53,9,44,17,6,2,16,21,109
ORL,2018-11-09,W,Home,WAS108-117ORL,0.512,44,86,0.419,13,31,0.842,16,19,41,10,31,26,8,6,16,18,117
WAS,2018-11-09,L,Away,ORL117-108WAS,0.512,42,82,0.407,11,27,0.684,13,19,35,6,29,24,8,3,19,18,108
MIA,2018-11-09,L,Home,IND110-102MIA,0.450,36,80,0.519,14,27,0.593,16,27,38,9,29,27,6,6,24,27,102
IND,2018-11-09,W,Away,MIA102-110IND,0.544,43,79,0.350,7,20,0.586,17,29,39,6,33,20,10,5,18,26,110
DET,2018-11-09,W,Away,ATL109-124DET,0.474,46,97,0.426,20,47,0.632,12,19,44,10,34,30,10,6,11,31,124
PHX,2018-11-10,L,Away,NOP119-99PHX,0.407,35,86,0.278,10,36,0.950,19,20,37,10,27,16,10,7,17,27,99
NOP,2018-11-10,W,Home,PHX99-119NOP,0.488,42,86,0.440,11,25,0.828,24,29,54,16,38,28,7,7,18,18,119
MEM,2018-11-10,W,Home,PHI106-112MEM,0.437,45,103,0.367,11,30,0.733,11,15,45,15,30,16,9,3,11,18,112
NYK,2018-11-10,L,Away,TOR128-112NYK,0.458,44,96,0.273,6,22,0.818,18,22,47,16,31,18,12,6,14,26,112
TOR,2018-11-10,W,Home,NYK112-128TOR,0.532,42,79,0.400,14,35,0.750,30,40,46,12,34,24,8,4,15,20,128
LAL,2018-11-10,W,Away,SAC86-101LAL,0.414,41,99,0.316,12,38,0.412,7,17,59,17,42,23,11,3,16,20,101
SAC,2018-11-10,L,Home,LAL101-86SAC,0.348,32,92,0.240,6,25,0.800,16,20,50,13,37,11,7,5,19,20,86
OKC,2018-11-10,L,Away,DAL111-96OKC,0.392,38,97,0.265,9,34,0.611,11,18,53,26,27,17,9,2,16,19,96
DAL,2018-11-10,W,Home,OKC96-111DAL,0.558,43,77,0.483,14,29,0.647,11,17,38,4,34,31,9,5,16,23,111
PHI,2018-11-10,L,Away,MEM112-106PHI,0.518,44,85,0.258,8,31,0.625,10,16,48,8,40,27,10,6,23,20,106
MIL,2018-11-10,L,Away,LAC128-126MIL,0.448,47,105,0.348,16,46,0.696,16,23,52,15,37,31,11,8,17,26,126
MIA,2018-11-10,L,Home,WAS116-110MIA,0.443,39,88,0.364,12,33,0.769,20,26,38,14,24,25,5,5,19,31,110
WAS,2018-11-10,W,Away,MIA110-116WAS,0.482,40,83,0.364,8,22,0.737,28,38,48,17,31,14,8,5,16,25,116
CLE,2018-11-10,L,Away,CHI99-98CLE,0.429,39,91,0.381,8,21,0.667,12,18,53,15,38,15,5,6,12,17,98
CHI,2018-11-10,W,Home,CLE98-99CHI,0.476,39,82,0.389,7,18,0.667,14,21,38,5,33,20,7,5,11,19,99
SAS,2018-11-10,W,Home,HOU89-96SAS,0.446,33,74,0.500,10,20,0.741,20,27,46,8,38,17,3,5,16,20,96
HOU,2018-11-10,L,Away,SAS96-89HOU,0.333,30,90,0.220,9,41,0.690,20,29,49,15,34,11,10,5,8,24,89
GSW,2018-11-10,W,Home,BKN100-116GSW,0.554,46,83,0.438,7,16,0.810,17,21,36,6,30,27,9,7,10,24,116
BKN,2018-11-10,L,Away,GSW116-100BKN,0.468,36,77,0.292,7,24,0.724,21,29,41,12,29,20,7,2,15,22,100
