Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
GSW,2019-04-13,W,Home,LAC104-121GSW,0.489,45,92,0.467,14,30,0.850,17,20,54,12,42,31,9,14,21,22,121
ORL,2019-04-13,W,Away,TOR101-104ORL,0.400,36,90,0.483,14,29,0.900,18,20,48,10,38,19,9,4,11,19,104
TOR,2019-04-13,L,Home,ORL104-101TOR,0.455,40,88,0.333,12,36,0.643,9,14,45,6,39,23,4,4,13,19,101
SAS,2019-04-13,W,Away,DEN96-101SAS,0.482,40,83,0.467,7,15,0.700,14,20,47,10,37,20,4,4,11,17,101
LAC,2019-04-13,L,Away,GSW121-104LAC,0.400,38,95,0.367,11,30,0.773,17,22,40,7,33,24,10,7,18,22,104
PHI,2019-04-13,L,Home,BKN111-102PHI,0.407,35,86,0.120,3,25,0.690,29,42,50,16,34,20,6,11,13,24,102
BKN,2019-04-13,W,Away,PHI102-111BKN,0.432,38,88,0.423,11,26,0.923,24,26,45,10,35,15,9,2,12,27,111
DEN,2019-04-13,L,Home,SAS101-96DEN,0.420,37,88,0.214,6,28,0.667,16,24,46,13,33,25,8,3,10,18,96
MIL,2019-04-14,W,Home,DET86-121MIL,0.489,44,90,0.349,15,43,0.692,18,26,54,8,46,31,7,8,10,16,121
DET,2019-04-14,L,Away,MIL121-86DET,0.380,35,92,0.296,8,27,0.615,8,13,46,7,39,22,7,2,13,21,86
IND,2019-04-14,L,Away,BOS84-74IND,0.333,28,84,0.222,6,27,0.571,12,21,42,9,33,22,8,5,13,20,74
HOU,2019-04-14,W,Home,UTA90-122HOU,0.505,48,95,0.366,15,41,0.917,11,12,42,8,34,25,6,6,12,20,122
UTA,2019-04-14,L,Away,HOU122-90UTA,0.390,30,77,0.259,7,27,0.852,23,27,41,7,34,17,6,2,19,20,90
OKC,2019-04-14,L,Away,POR104-99OKC,0.398,37,93,0.152,5,33,0.870,20,23,49,18,31,18,10,4,16,26,99
POR,2019-04-14,W,Home,OKC99-104POR,0.419,36,86,0.440,11,25,0.778,21,27,48,13,35,14,8,9,19,17,104
BOS,2019-04-14,W,Home,IND74-84BOS,0.364,28,77,0.357,10,28,0.818,18,22,55,7,48,18,8,2,20,20,84
LAC,2019-04-15,W,Away,GSW131-135LAC,0.565,48,85,0.452,14,31,0.806,25,31,34,8,26,34,14,1,20,33,135
BKN,2019-04-15,L,Away,PHI145-123BKN,0.478,43,90,0.417,15,36,0.759,22,29,32,12,20,20,3,2,14,24,123
PHI,2019-04-15,W,Home,BKN123-145PHI,0.561,55,98,0.391,9,23,0.813,26,32,49,15,34,29,8,3,12,23,145
GSW,2019-04-15,L,Home,LAC135-131GSW,0.533,40,75,0.393,11,28,0.889,40,45,38,7,31,31,11,6,22,31,131
TOR,2019-04-16,W,Home,ORL82-111TOR,0.483,42,87,0.314,11,35,0.941,16,17,42,6,36,25,10,5,7,23,111
DEN,2019-04-16,W,Home,SAS105-114DEN,0.483,43,89,0.417,10,24,0.692,18,26,41,7,34,29,5,2,6,21,114
SAS,2019-04-16,L,Away,DEN114-105SAS,0.453,39,86,0.278,5,18,0.880,22,25,50,11,39,20,3,3,10,20,105
POR,2019-04-16,W,Home,OKC94-114POR,0.467,42,90,0.406,13,32,0.810,17,21,44,7,37,17,9,6,12,27,114
OKC,2019-04-16,L,Away,POR114-94OKC,0.407,35,86,0.179,5,28,0.679,19,28,47,13,34,21,6,6,16,27,94
ORL,2019-04-16,L,Away,TOR111-82ORL,0.370,30,81,0.265,9,34,0.542,13,24,45,12,33,17,2,4,17,18,82
UTA,2019-04-17,L,Away,HOU118-98UTA,0.398,39,98,0.211,8,38,0.667,12,18,48,15,33,27,16,3,12,26,98
HOU,2019-04-17,W,Home,UTA98-118HOU,0.475,38,80,0.405,17,42,0.833,25,30,46,8,38,17,8,9,18,18,118
MIL,2019-04-17,W,Home,DET99-120MIL,0.522,47,90,0.423,11,26,0.714,15,21,54,8,46,32,5,11,13,21,120
IND,2019-04-17,L,Away,BOS99-91IND,0.444,36,81,0.382,13,34,0.600,6,10,36,4,32,23,11,3,12,16,91
BOS,2019-04-17,W,Home,IND91-99BOS,0.476,40,84,0.393,11,28,0.889,8,9,48,7,41,22,3,5,14,16,99
DET,2019-04-17,L,Away,MIL120-99DET,0.374,37,99,0.333,12,36,0.765,13,17,43,11,32,23,5,7,9,21,99
SAS,2019-04-18,W,Home,DEN108-118SAS,0.494,44,89,0.389,7,18,0.719,23,32,45,15,30,24,9,2,6,20,118
DEN,2019-04-18,L,Away,SAS118-108DEN,0.519,42,81,0.517,15,29,0.529,9,17,37,10,27,31,3,1,13,21,108
LAC,2019-04-18,L,Home,GSW132-105LAC,0.372,35,94,0.219,7,32,0.824,28,34,43,16,27,21,6,2,13,25,105
GSW,2019-04-18,W,Away,LAC105-132GSW,0.548,51,93,0.429,15,35,0.833,15,18,50,10,40,35,4,11,12,28,132
PHI,2019-04-18,W,Away,BKN115-131PHI,0.479,45,94,0.407,11,27,0.857,30,35,54,15,39,26,9,5,16,29,131
BKN,2019-04-18,L,Home,PHI131-115BKN,0.406,39,96,0.205,8,39,0.829,29,35,43,13,30,12,6,2,16,24,115
