Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2018-10-18,W,Home,CHI108-127PHI,0.473,44,93,0.333,12,36,0.900,27,30,55,11,44,30,10,8,13,17,127
WAS,2018-10-18,L,Home,MIA113-112WAS,0.469,38,81,0.269,7,26,0.744,29,39,40,7,33,19,7,15,14,31,112
MIA,2018-10-18,W,Away,WAS112-113MIA,0.392,38,97,0.343,12,35,0.735,25,34,55,22,33,25,6,5,19,26,113
CHI,2018-10-18,L,Away,PHI127-108CHI,0.436,44,101,0.333,11,33,0.750,9,12,39,5,34,28,4,6,12,23,108
LAL,2018-10-18,L,Away,POR128-119LAL,0.484,45,93,0.233,7,30,0.759,22,29,46,8,38,23,10,6,15,26,119
POR,2018-10-18,W,Home,LAL119-128POR,0.440,44,100,0.351,13,37,0.931,27,29,54,14,40,21,9,10,17,26,128
SAC,2018-10-19,L,Away,NOP149-129SAC,0.521,50,96,0.400,10,25,0.731,19,26,39,9,30,24,6,2,13,26,129
NOP,2018-10-19,W,Home,SAC129-149NOP,0.589,56,95,0.516,16,31,0.636,21,33,52,12,40,35,6,4,16,25,149
ATL,2018-10-19,L,Away,MEM131-117ATL,0.494,41,83,0.467,14,30,0.583,21,36,40,11,29,27,9,5,19,31,117
MEM,2018-10-19,W,Home,ATL117-131MEM,0.543,44,81,0.500,13,26,0.698,30,43,41,7,34,32,9,4,17,29,131
TOR,2018-10-19,W,Home,BOS101-113TOR,0.467,43,92,0.371,13,35,0.737,14,19,49,12,37,24,3,3,13,19,113
MIN,2018-10-19,W,Home,CLE123-131MIN,0.506,44,87,0.400,10,25,0.943,33,35,40,9,31,28,9,7,14,21,131
CLE,2018-10-19,L,Away,MIN131-123CLE,0.484,45,93,0.348,8,23,0.862,25,29,43,13,30,26,5,2,14,24,123
MIL,2018-10-19,W,Home,IND101-118MIL,0.473,44,93,0.370,17,46,0.619,13,21,50,11,39,27,9,8,17,26,118
BOS,2018-10-19,L,Away,TOR113-101BOS,0.404,40,99,0.389,14,36,0.700,7,10,49,16,33,29,4,6,16,27,101
GSW,2018-10-19,W,Away,UTA123-124GSW,0.563,49,87,0.526,10,19,0.889,16,18,43,8,35,27,10,6,16,23,124
IND,2018-10-19,L,Away,MIL118-101IND,0.437,38,87,0.333,6,18,0.704,19,27,41,9,32,14,7,3,17,25,101
BKN,2018-10-19,W,Home,NYK105-107BKN,0.493,37,75,0.400,12,30,0.875,21,24,55,12,43,22,2,6,22,23,107
CHA,2018-10-19,W,Away,ORL88-120CHA,0.467,43,92,0.447,17,38,0.850,17,20,55,12,43,32,6,4,16,17,120
ORL,2018-10-19,L,Home,CHA120-88ORL,0.383,36,94,0.194,6,31,0.714,10,14,44,12,32,18,8,7,18,16,88
NYK,2018-10-19,L,Away,BKN107-105NYK,0.402,39,97,0.321,9,28,0.900,18,20,36,12,24,14,10,1,3,19,105
OKC,2018-10-19,L,Away,LAC108-92OKC,0.358,34,95,0.212,7,33,0.739,17,23,52,15,37,18,5,4,13,29,92
UTA,2018-10-19,L,Home,GSW124-123UTA,0.449,40,89,0.413,19,46,0.828,24,29,38,10,28,24,11,4,17,19,123
LAC,2018-10-19,W,Home,OKC92-108LAC,0.432,35,81,0.423,11,26,0.750,27,36,48,10,38,21,3,3,15,24,108
IND,2018-10-20,W,Home,BKN112-132IND,0.554,51,92,0.667,16,24,0.636,14,22,40,10,30,21,12,5,11,18,132
TOR,2018-10-20,W,Away,WAS113-117TOR,0.443,39,88,0.345,10,29,0.806,29,36,52,14,38,21,5,5,17,29,117
WAS,2018-10-20,L,Home,TOR117-113WAS,0.416,37,89,0.333,13,39,0.813,26,32,37,9,28,20,11,9,11,27,113
DEN,2018-10-20,W,Home,PHX91-119DEN,0.506,43,85,0.321,9,28,0.828,24,29,54,9,45,28,12,6,18,31,119
PHX,2018-10-20,L,Away,DEN119-91PHX,0.377,29,77,0.282,11,39,0.629,22,35,40,10,30,20,6,4,19,26,91
DAL,2018-10-20,W,Home,MIN136-140DAL,0.500,49,98,0.340,17,50,0.735,25,34,42,15,27,29,8,8,16,28,140
MIN,2018-10-20,L,Away,DAL140-136MIN,0.524,44,84,0.519,14,27,0.850,34,40,33,6,27,23,10,3,17,30,136
