Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
ORL,2018-11-23,L,Away,DEN112-87ORL,0.405,32,79,0.250,8,32,0.789,15,19,37,4,33,24,7,2,15,19,87
MIL,2018-11-23,L,Home,PHX116-114MIL,0.483,42,87,0.227,10,44,0.667,20,30,43,7,36,30,6,7,14,17,114
OKC,2018-11-23,W,Home,CHA104-109OKC,0.441,41,93,0.333,11,33,0.667,16,24,46,11,35,24,6,2,14,18,109
CHA,2018-11-23,L,Away,OKC109-104CHA,0.457,43,94,0.194,6,31,0.857,12,14,46,11,35,24,8,5,14,21,104
MIA,2018-11-23,W,Away,CHI96-103MIA,0.425,37,87,0.294,10,34,0.613,19,31,48,10,38,20,10,11,14,21,103
CHI,2018-11-23,L,Home,MIA103-96CHI,0.372,35,94,0.250,7,28,0.950,19,20,52,12,40,23,8,6,18,23,96
IND,2018-11-23,L,Home,SAS111-100IND,0.465,46,99,0.125,3,24,0.556,5,9,45,11,34,31,9,2,12,22,100
SAS,2018-11-23,W,Away,IND100-111SAS,0.506,42,83,0.476,10,21,0.708,17,24,46,9,37,28,3,4,15,19,111
BOS,2018-11-23,W,Away,ATL96-114BOS,0.462,42,91,0.325,13,40,0.810,17,21,43,7,36,31,11,7,16,29,114
ATL,2018-11-23,L,Home,BOS114-96ATL,0.432,35,81,0.171,6,35,0.690,20,29,40,5,35,22,9,7,21,26,96
CLE,2018-11-23,W,Away,PHI112-121CLE,0.527,49,93,0.500,11,22,0.750,12,16,42,14,28,16,7,1,9,25,121
PHI,2018-11-23,L,Home,CLE121-112PHI,0.533,40,75,0.364,12,33,0.769,20,26,31,4,27,27,5,3,10,20,112
TOR,2018-11-23,W,Home,WAS107-125TOR,0.495,46,93,0.436,17,39,0.842,16,19,50,13,37,32,5,6,15,23,125
WAS,2018-11-23,L,Away,TOR125-107WAS,0.396,40,101,0.196,9,46,0.947,18,19,45,15,30,28,8,7,13,16,107
HOU,2018-11-23,L,Away,DET116-111HOU,0.418,41,98,0.278,10,36,0.905,19,21,44,17,27,22,6,7,14,26,111
DET,2018-11-23,W,Home,HOU111-116DET,0.455,40,88,0.259,7,27,0.725,29,40,49,14,35,18,11,5,14,18,116
MEM,2018-11-23,L,Away,LAC112-107MEM,0.457,42,92,0.333,9,27,0.778,14,18,48,6,42,29,5,7,17,29,107
LAC,2018-11-23,W,Home,MEM107-112LAC,0.426,40,94,0.348,8,23,0.889,24,27,47,7,40,26,6,5,10,23,112
PHX,2018-11-23,W,Away,MIL114-116PHX,0.500,45,90,0.346,9,26,0.773,17,22,40,6,34,21,8,4,11,25,116
DEN,2018-11-23,W,Home,ORL87-112DEN,0.473,44,93,0.321,9,28,0.882,15,17,51,12,39,33,10,5,11,20,112
MIN,2018-11-23,W,Away,BKN102-112MIN,0.478,44,92,0.360,9,25,0.882,15,17,38,9,29,25,15,4,7,20,112
UTA,2018-11-23,L,Away,LAL90-83UTA,0.388,33,85,0.174,4,23,0.765,13,17,41,7,34,22,12,3,19,21,83
LAL,2018-11-23,W,Home,UTA83-90LAL,0.456,36,79,0.304,7,23,0.611,11,18,47,5,42,10,11,5,24,20,90
POR,2018-11-23,L,Away,GSW125-97POR,0.409,38,93,0.375,9,24,0.545,12,22,40,13,27,22,8,2,13,16,97
GSW,2018-11-23,W,Home,POR97-125GSW,0.565,48,85,0.531,17,32,0.750,12,16,42,6,36,29,11,11,14,22,125
NYK,2018-11-23,W,Home,NOP109-114NYK,0.446,41,92,0.364,12,33,0.741,20,27,48,13,35,22,9,10,9,26,114
NOP,2018-11-23,L,Away,NYK114-109NOP,0.396,40,101,0.250,7,28,0.759,22,29,55,20,35,26,5,5,13,22,109
BKN,2018-11-23,L,Home,MIN112-102BKN,0.418,33,79,0.311,14,45,0.846,22,26,46,9,37,26,2,4,19,22,102
SAC,2018-11-24,L,Away,GSW117-116SAC,0.433,42,97,0.393,11,28,0.724,21,29,47,13,34,28,6,4,8,22,116
MIL,2018-11-24,W,Home,SAS129-135MIL,0.570,49,86,0.375,15,40,0.759,22,29,41,6,35,30,7,3,13,22,135
SAS,2018-11-24,L,Away,MIL135-129SAS,0.533,49,92,0.476,10,21,0.750,21,28,39,9,30,27,8,3,10,21,129
DAL,2018-11-24,W,Home,BOS104-113DAL,0.483,42,87,0.390,16,41,0.619,13,21,43,13,30,27,12,3,16,16,113
BOS,2018-11-24,L,Away,DAL113-104BOS,0.477,41,86,0.357,10,28,0.923,12,13,42,9,33,19,8,3,18,21,104
OKC,2018-11-24,L,Home,DEN105-98OKC,0.359,37,103,0.231,9,39,0.652,15,23,54,19,35,22,9,5,10,24,98
NOP,2018-11-24,L,Away,WAS124-114NOP,0.478,43,90,0.355,11,31,0.810,17,21,43,7,36,23,10,3,16,21,114
WAS,2018-11-24,W,Home,NOP114-124WAS,0.567,51,90,0.345,10,29,0.522,12,23,45,5,40,30,12,9,15,16,124
CHI,2018-11-24,L,Away,MIN111-96CHI,0.400,32,80,0.303,10,33,0.710,22,31,40,6,34,22,7,4,16,19,96
MIN,2018-11-24,W,Home,CHI96-111MIN,0.408,42,103,0.206,7,34,0.870,20,23,58,21,37,22,8,5,14,23,111
HOU,2018-11-24,L,Away,CLE117-108HOU,0.500,37,74,0.385,15,39,0.679,19,28,30,7,23,18,5,4,16,19,108
CLE,2018-11-24,W,Home,HOU108-117CLE,0.489,44,90,0.318,7,22,0.759,22,29,49,20,29,15,11,2,14,24,117
DEN,2018-11-24,W,Away,OKC98-105DEN,0.411,39,95,0.333,10,30,0.708,17,24,54,15,39,26,6,9,18,20,105
GSW,2018-11-24,W,Home,SAC116-117GSW,0.466,41,88,0.294,10,34,0.862,25,29,54,12,42,28,5,6,15,24,117
