Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
DEN,2019-05-01,L,Home,POR97-90DEN,0.347,34,98,0.207,6,29,0.615,16,26,58,23,35,20,6,5,9,19,90
POR,2019-05-01,W,Away,DEN90-97POR,0.424,36,85,0.310,9,29,0.800,16,20,47,7,40,18,5,6,11,22,97
PHI,2019-05-02,W,Home,TOR95-116PHI,0.512,43,84,0.435,10,23,0.870,20,23,45,9,36,29,4,8,13,17,116
TOR,2019-05-02,L,Away,PHI116-95TOR,0.422,35,83,0.259,7,27,0.783,18,23,35,8,27,15,7,4,9,17,95
MIL,2019-05-03,W,Away,BOS116-123MIL,0.506,42,83,0.405,15,37,0.667,24,36,44,7,37,23,8,7,15,26,123
BOS,2019-05-03,L,Home,MIL123-116BOS,0.432,35,81,0.400,16,40,0.938,30,32,44,6,38,24,9,3,18,27,116
POR,2019-05-03,W,Home,DEN137-140POR,0.419,52,124,0.286,12,42,0.857,24,28,62,24,38,23,13,5,14,24,140
DEN,2019-05-03,L,Away,POR140-137DEN,0.454,54,119,0.357,15,42,0.700,14,20,66,24,42,28,11,8,21,27,137
GSW,2019-05-04,L,Away,HOU126-121GSW,0.442,42,95,0.424,14,33,0.793,23,29,35,7,28,27,6,6,8,22,121
HOU,2019-05-04,W,Home,GSW121-126HOU,0.484,45,93,0.429,18,42,0.692,18,26,55,17,38,20,4,6,16,24,126
PHI,2019-05-05,L,Home,TOR101-96PHI,0.402,33,82,0.316,12,38,0.720,18,25,43,11,32,22,8,6,13,23,96
TOR,2019-05-05,W,Away,PHI96-101TOR,0.461,35,76,0.323,10,31,0.808,21,26,43,8,35,19,6,3,14,24,101
DEN,2019-05-05,W,Away,POR112-116DEN,0.435,40,92,0.440,11,25,0.893,25,28,45,17,28,21,7,4,10,22,116
POR,2019-05-05,L,Home,DEN116-112POR,0.476,39,82,0.429,12,28,0.786,22,28,43,12,31,18,4,5,14,27,112
MIL,2019-05-06,W,Away,BOS101-113MIL,0.440,44,100,0.216,8,37,0.680,17,25,56,11,45,25,4,5,7,25,113
HOU,2019-05-06,W,Home,GSW108-112HOU,0.438,39,89,0.340,17,50,0.708,17,24,50,13,37,18,6,6,14,23,112
GSW,2019-05-06,L,Away,HOU112-108GSW,0.467,42,90,0.242,8,33,0.696,16,23,43,8,35,24,6,2,11,21,108
BOS,2019-05-06,L,Home,MIL113-101BOS,0.378,34,90,0.220,9,41,0.800,24,30,51,9,42,25,3,5,11,20,101
TOR,2019-05-07,W,Home,PHI89-125TOR,0.488,40,82,0.400,16,40,0.879,29,33,42,6,36,22,12,2,13,18,125
PHI,2019-05-07,L,Away,TOR125-89PHI,0.418,33,79,0.250,6,24,0.850,17,20,37,5,32,19,6,5,19,26,89
POR,2019-05-07,L,Away,DEN124-98POR,0.367,36,98,0.270,10,37,0.533,16,30,43,13,30,19,6,5,6,23,98
DEN,2019-05-07,W,Home,POR98-124DEN,0.494,44,89,0.333,8,24,0.903,28,31,62,10,52,26,4,4,8,22,124
BOS,2019-05-08,L,Away,MIL116-91BOS,0.312,29,93,0.179,7,39,0.765,26,34,50,12,38,19,7,1,14,18,91
MIL,2019-05-08,W,Home,BOS91-116MIL,0.447,42,94,0.319,15,47,0.773,17,22,56,10,46,27,8,7,15,23,116
GSW,2019-05-08,W,Home,HOU99-104GSW,0.459,39,85,0.351,13,37,0.722,13,18,42,12,30,28,6,1,15,19,104
HOU,2019-05-08,L,Away,GSW104-99HOU,0.418,33,79,0.293,12,41,0.875,21,24,39,8,31,19,10,3,17,20,99
