Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
OKC,2018-10-16,L,Away,GSW108-100OKC,0.363,33,91,0.270,10,37,0.649,24,37,45,16,29,21,12,6,15,21,100
PHI,2018-10-16,L,Away,BOS105-87PHI,0.391,34,87,0.192,5,26,0.609,14,23,47,6,41,18,8,5,16,20,87
GSW,2018-10-16,W,Home,OKC100-108GSW,0.442,42,95,0.269,7,26,0.944,17,18,58,17,41,28,7,7,21,29,108
BOS,2018-10-16,W,Home,PHI87-105BOS,0.433,42,97,0.297,11,37,0.714,10,14,55,12,43,21,7,5,15,20,105
SAS,2018-10-17,W,Home,MIN108-112SAS,0.430,40,93,0.440,11,25,0.724,21,29,52,19,33,22,3,4,12,22,112
CLE,2018-10-17,L,Away,TOR116-104CLE,0.400,34,85,0.368,7,19,0.744,29,39,49,14,35,17,4,0,16,25,104
TOR,2018-10-17,W,Home,CLE104-116TOR,0.489,45,92,0.424,14,33,0.600,12,20,43,8,35,21,6,7,10,29,116
MIL,2018-10-17,W,Away,CHA112-113MIL,0.494,42,85,0.412,14,34,0.750,15,20,57,11,46,26,5,4,21,25,113
SAC,2018-10-17,L,Home,UTA123-117SAC,0.516,49,95,0.368,7,19,0.667,12,18,37,5,32,17,8,3,9,27,117
UTA,2018-10-17,W,Away,SAC117-123UTA,0.519,41,79,0.481,13,27,0.737,28,38,44,5,39,21,8,4,17,19,123
IND,2018-10-17,W,Home,MEM83-111IND,0.566,47,83,0.385,10,26,0.538,7,13,57,13,44,29,2,7,20,24,111
MEM,2018-10-17,L,Away,IND111-83MEM,0.298,25,84,0.345,10,29,0.821,23,28,28,7,21,16,11,3,10,18,83
LAC,2018-10-17,L,Home,DEN107-98LAC,0.398,35,88,0.286,8,28,0.833,20,24,47,9,38,21,3,9,14,32,98
DEN,2018-10-17,W,Away,LAC98-107DEN,0.379,33,87,0.333,8,24,0.786,33,42,56,14,42,20,6,9,11,22,107
CHA,2018-10-17,L,Home,MIL113-112CHA,0.446,41,92,0.421,16,38,0.636,14,22,41,9,32,21,8,9,11,19,112
BKN,2018-10-17,L,Away,DET103-100BKN,0.488,40,82,0.185,5,27,0.682,15,22,39,5,34,28,9,5,19,23,100
MIA,2018-10-17,L,Away,ORL104-101MIA,0.392,38,97,0.273,9,33,0.727,16,22,52,14,38,16,4,5,17,28,101
ORL,2018-10-17,W,Home,MIA101-104ORL,0.415,39,94,0.280,7,25,0.613,19,31,51,14,37,20,7,7,12,25,104
NOP,2018-10-17,W,Away,HOU112-131NOP,0.531,52,98,0.400,10,25,0.773,17,22,54,14,40,36,8,3,12,25,131
HOU,2018-10-17,L,Home,NOP131-112HOU,0.424,39,92,0.333,16,48,0.750,18,24,37,8,29,21,8,7,12,22,112
DAL,2018-10-17,L,Away,PHX121-100DAL,0.432,38,88,0.303,10,33,0.700,14,20,38,10,28,28,7,5,9,16,100
MIN,2018-10-17,L,Away,SAS112-108MIN,0.429,39,91,0.316,6,19,0.889,24,27,46,14,32,20,9,2,11,27,108
PHX,2018-10-17,W,Home,DAL100-121PHX,0.543,44,81,0.559,19,34,0.875,14,16,44,6,38,35,5,2,12,22,121
ATL,2018-10-17,L,Away,NYK126-107ATL,0.456,41,90,0.278,10,36,0.833,15,18,45,7,38,19,7,3,24,30,107
NYK,2018-10-17,W,Home,ATL107-126NYK,0.455,45,99,0.364,12,33,0.774,24,31,46,10,36,21,12,6,16,23,126
DET,2018-10-17,W,Home,BKN100-103DET,0.424,39,92,0.250,6,24,0.864,19,22,46,14,32,21,5,5,17,20,103
MIA,2018-10-18,W,Away,WAS112-113MIA,0.392,38,97,0.343,12,35,0.735,25,34,55,22,33,25,6,5,19,26,113
WAS,2018-10-18,L,Home,MIA113-112WAS,0.469,38,81,0.269,7,26,0.744,29,39,40,7,33,19,7,15,14,31,112
LAL,2018-10-18,L,Away,POR128-119LAL,0.484,45,93,0.233,7,30,0.759,22,29,46,8,38,23,10,6,15,26,119
PHI,2018-10-18,W,Home,CHI108-127PHI,0.473,44,93,0.333,12,36,0.900,27,30,55,11,44,30,10,8,13,17,127
CHI,2018-10-18,L,Away,PHI127-108CHI,0.436,44,101,0.333,11,33,0.750,9,12,39,5,34,28,4,6,12,23,108
POR,2018-10-18,W,Home,LAL119-128POR,0.440,44,100,0.351,13,37,0.931,27,29,54,14,40,21,9,10,17,26,128
CLE,2018-10-19,L,Away,MIN131-123CLE,0.484,45,93,0.348,8,23,0.862,25,29,43,13,30,26,5,2,14,24,123
SAC,2018-10-19,L,Away,NOP149-129SAC,0.521,50,96,0.400,10,25,0.731,19,26,39,9,30,24,6,2,13,26,129
NOP,2018-10-19,W,Home,SAC129-149NOP,0.589,56,95,0.516,16,31,0.636,21,33,52,12,40,35,6,4,16,25,149
ATL,2018-10-19,L,Away,MEM131-117ATL,0.494,41,83,0.467,14,30,0.583,21,36,40,11,29,27,9,5,19,31,117
MEM,2018-10-19,W,Home,ATL117-131MEM,0.543,44,81,0.500,13,26,0.698,30,43,41,7,34,32,9,4,17,29,131
TOR,2018-10-19,W,Home,BOS101-113TOR,0.467,43,92,0.371,13,35,0.737,14,19,49,12,37,24,3,3,13,19,113
MIN,2018-10-19,W,Home,CLE123-131MIN,0.506,44,87,0.400,10,25,0.943,33,35,40,9,31,28,9,7,14,21,131
IND,2018-10-19,L,Away,MIL118-101IND,0.437,38,87,0.333,6,18,0.704,19,27,41,9,32,14,7,3,17,25,101
BOS,2018-10-19,L,Away,TOR113-101BOS,0.404,40,99,0.389,14,36,0.700,7,10,49,16,33,29,4,6,16,27,101
GSW,2018-10-19,W,Away,UTA123-124GSW,0.563,49,87,0.526,10,19,0.889,16,18,43,8,35,27,10,6,16,23,124
UTA,2018-10-19,L,Home,GSW124-123UTA,0.449,40,89,0.413,19,46,0.828,24,29,38,10,28,24,11,4,17,19,123
OKC,2018-10-19,L,Away,LAC108-92OKC,0.358,34,95,0.212,7,33,0.739,17,23,52,15,37,18,5,4,13,29,92
NYK,2018-10-19,L,Away,BKN107-105NYK,0.402,39,97,0.321,9,28,0.900,18,20,36,12,24,14,10,1,3,19,105
LAC,2018-10-19,W,Home,OKC92-108LAC,0.432,35,81,0.423,11,26,0.750,27,36,48,10,38,21,3,3,15,24,108
ORL,2018-10-19,L,Home,CHA120-88ORL,0.383,36,94,0.194,6,31,0.714,10,14,44,12,32,18,8,7,18,16,88
CHA,2018-10-19,W,Away,ORL88-120CHA,0.467,43,92,0.447,17,38,0.850,17,20,55,12,43,32,6,4,16,17,120
BKN,2018-10-19,W,Home,NYK105-107BKN,0.493,37,75,0.400,12,30,0.875,21,24,55,12,43,22,2,6,22,23,107
MIL,2018-10-19,W,Home,IND101-118MIL,0.473,44,93,0.370,17,46,0.619,13,21,50,11,39,27,9,8,17,26,118
BKN,2018-10-20,L,Away,IND132-112BKN,0.477,41,86,0.432,16,37,0.636,14,22,40,9,31,25,6,6,20,18,112
IND,2018-10-20,W,Home,BKN112-132IND,0.554,51,92,0.667,16,24,0.636,14,22,40,10,30,21,12,5,11,18,132
DAL,2018-10-20,W,Home,MIN136-140DAL,0.500,49,98,0.340,17,50,0.735,25,34,42,15,27,29,8,8,16,28,140
TOR,2018-10-20,W,Away,WAS113-117TOR,0.443,39,88,0.345,10,29,0.806,29,36,52,14,38,21,5,5,17,29,117
DEN,2018-10-20,W,Home,PHX91-119DEN,0.506,43,85,0.321,9,28,0.828,24,29,54,9,45,28,12,6,18,31,119
WAS,2018-10-20,L,Home,TOR117-113WAS,0.416,37,89,0.333,13,39,0.813,26,32,37,9,28,20,11,9,11,27,113
SAS,2018-10-20,L,Away,POR121-108SAS,0.420,42,100,0.433,13,30,0.786,11,14,40,15,25,29,5,4,6,17,108
PHX,2018-10-20,L,Away,DEN119-91PHX,0.377,29,77,0.282,11,39,0.629,22,35,40,10,30,20,6,4,19,26,91
POR,2018-10-20,W,Home,SAS108-121POR,0.536,45,84,0.469,15,32,0.842,16,19,46,8,38,24,5,3,12,14,121
MIN,2018-10-20,L,Away,DAL140-136MIN,0.524,44,84,0.519,14,27,0.850,34,40,33,6,27,23,10,3,17,30,136
CHA,2018-10-20,W,Away,MIA112-113CHA,0.441,41,93,0.381,16,42,0.652,15,23,40,12,28,23,6,12,12,27,113
NYK,2018-10-20,L,Home,BOS103-101NYK,0.414,36,87,0.343,12,35,0.630,17,27,46,11,35,23,8,1,16,25,101
BOS,2018-10-20,W,Away,NYK101-103BOS,0.402,33,82,0.360,9,25,0.848,28,33,47,11,36,21,8,2,15,26,103
DET,2018-10-20,W,Away,CHI116-118DET,0.406,41,101,0.450,18,40,0.783,18,23,49,18,31,21,4,4,10,23,118
CHI,2018-10-20,L,Home,DET118-116CHI,0.506,44,87,0.333,7,21,0.808,21,26,41,5,36,26,4,3,11,20,116
LAL,2018-10-20,L,Home,HOU124-115LAL,0.480,48,100,0.250,8,32,0.611,11,18,44,9,35,28,8,10,11,21,115
HOU,2018-10-20,W,Away,LAL115-124HOU,0.458,44,96,0.381,16,42,0.667,20,30,54,13,41,22,7,4,18,21,124
PHI,2018-10-20,W,Home,ORL115-116PHI,0.479,45,94,0.515,17,33,0.900,9,10,46,13,33,33,8,3,10,21,116
ORL,2018-10-20,L,Away,PHI116-115ORL,0.456,41,90,0.552,16,29,0.773,17,22,49,14,35,31,7,7,16,15,115
MIA,2018-10-20,L,Home,CHA113-112MIA,0.461,41,89,0.324,11,34,0.704,19,27,49,12,37,21,4,11,16,27,112
OKC,2018-10-21,L,Home,SAC131-120OKC,0.442,46,104,0.231,9,39,0.633,19,30,51,18,33,23,11,9,18,29,120
SAC,2018-10-21,W,Away,OKC120-131SAC,0.549,50,91,0.455,10,22,0.750,21,28,46,12,34,28,11,7,20,26,131
GSW,2018-10-21,L,Away,DEN100-98GSW,0.456,36,79,0.241,7,29,0.792,19,24,40,6,34,22,4,6,19,29,98
HOU,2018-10-21,L,Away,LAC115-112HOU,0.483,43,89,0.429,15,35,0.733,11,15,35,6,29,28,6,6,12,23,112
LAC,2018-10-21,W,Home,HOU112-115LAC,0.472,42,89,0.200,5,25,1.000,26,26,49,12,37,22,8,7,13,16,115
ATL,2018-10-21,W,Away,CLE111-133ATL,0.490,48,98,0.468,22,47,0.789,15,19,44,9,35,32,9,7,12,21,133
CLE,2018-10-21,L,Home,ATL133-111CLE,0.465,46,99,0.370,10,27,0.643,9,14,49,15,34,23,5,2,18,25,111
DEN,2018-10-21,W,Home,GSW98-100DEN,0.407,35,86,0.188,6,32,0.571,24,42,47,13,34,21,11,4,10,22,100
MIL,2018-10-22,W,Home,NYK113-124MIL,0.469,45,96,0.425,17,40,0.708,17,24,55,19,36,27,5,9,15,18,124
TOR,2018-10-22,W,Home,CHA106-127TOR,0.575,50,87,0.385,15,39,0.857,12,14,46,5,41,36,10,8,15,21,127
CHA,2018-10-22,L,Away,TOR127-106CHA,0.423,41,97,0.321,9,28,0.833,15,18,41,14,27,21,5,5,12,14,106
MIN,2018-10-22,W,Home,IND91-101MIN,0.424,36,85,0.212,7,33,0.917,22,24,47,8,39,24,9,12,15,17,101
IND,2018-10-22,L,Away,MIN101-91IND,0.391,36,92,0.308,8,26,0.688,11,16,45,12,33,18,6,6,15,24,91
CHI,2018-10-22,L,Away,DAL115-109CHI,0.513,41,80,0.565,13,23,0.667,14,21,34,7,27,18,6,4,19,29,109
DAL,2018-10-22,W,Home,CHI109-115DAL,0.430,40,93,0.319,15,47,0.952,20,21,41,13,28,25,8,2,16,16,115
NYK,2018-10-22,L,Away,MIL124-113NYK,0.455,45,99,0.345,10,29,0.867,13,15,43,11,32,22,6,2,12,21,113
PHX,2018-10-22,L,Away,GSW123-103PHX,0.453,39,86,0.265,9,34,0.889,16,18,45,12,33,24,8,1,21,21,103
UTA,2018-10-22,L,Home,MEM92-84UTA,0.354,29,82,0.250,8,32,0.783,18,23,50,10,40,18,6,6,15,22,84
POR,2018-10-22,L,Home,WAS125-124POR,0.398,43,108,0.282,11,39,0.871,27,31,70,17,53,22,6,4,20,22,124
WAS,2018-10-22,W,Away,POR124-125WAS,0.418,46,110,0.405,15,37,0.692,18,26,54,12,42,23,6,7,10,27,125
ORL,2018-10-22,W,Away,BOS90-93ORL,0.409,38,93,0.286,10,35,0.700,7,10,49,8,41,28,6,2,9,15,93
BOS,2018-10-22,L,Home,ORL93-90BOS,0.407,37,91,0.225,9,40,0.778,7,9,51,9,42,21,6,3,12,15,90
SAS,2018-10-22,W,Away,LAL142-143SAS,0.515,50,97,0.536,15,28,0.737,28,38,47,10,37,32,9,3,9,26,143
LAL,2018-10-22,L,Home,SAS143-142LAL,0.514,55,107,0.359,14,39,0.692,18,26,52,13,39,33,5,6,15,29,142
GSW,2018-10-22,W,Home,PHX103-123GSW,0.511,45,88,0.378,14,37,0.731,19,26,40,7,33,35,12,4,14,24,123
MEM,2018-10-22,W,Away,UTA84-92MEM,0.369,31,84,0.321,9,28,0.808,21,26,43,7,36,18,10,2,11,22,92
NOP,2018-10-23,W,Home,LAC109-116NOP,0.430,40,93,0.250,6,24,0.750,30,40,48,12,36,22,12,8,8,24,116
DEN,2018-10-23,W,Home,SAC112-126DEN,0.515,51,99,0.367,11,30,0.867,13,15,49,15,34,31,11,3,12,22,126
LAC,2018-10-23,L,Away,NOP116-109LAC,0.471,41,87,0.250,5,20,0.815,22,27,47,9,38,18,5,4,17,26,109
PHI,2018-10-23,L,Away,DET133-132PHI,0.500,49,98,0.326,14,43,0.714,20,28,48,8,40,32,3,8,11,24,132
DET,2018-10-23,W,Home,PHI132-133DET,0.472,51,108,0.364,12,33,0.704,19,27,46,12,34,22,4,4,8,24,133
SAC,2018-10-23,L,Away,DEN126-112SAC,0.523,45,86,0.419,13,31,0.450,9,20,39,9,30,29,7,6,16,17,112
NYK,2018-10-24,L,Away,MIA110-87NYK,0.363,33,91,0.364,12,33,0.643,9,14,45,10,35,20,5,3,12,23,87
MIN,2018-10-24,L,Away,TOR112-105MIN,0.417,40,96,0.500,15,30,0.625,10,16,44,16,28,25,10,5,16,17,105
TOR,2018-10-24,W,Home,MIN105-112TOR,0.517,46,89,0.344,11,32,0.750,9,12,44,11,33,26,9,8,17,18,112
SAC,2018-10-24,W,Home,MEM92-97SAC,0.422,35,83,0.333,6,18,0.636,21,33,57,15,42,19,7,5,17,15,97
PHI,2018-10-24,L,Away,MIL123-108PHI,0.413,38,92,0.324,11,34,0.700,21,30,50,8,42,29,4,5,16,27,108
MIL,2018-10-24,W,Home,PHI108-123MIL,0.410,41,100,0.302,13,43,0.933,28,30,51,9,42,24,7,10,11,27,123
