Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
BOS,2018-10-16,W,Home,PHI87-105BOS,0.433,42,97,0.297,11,37,0.714,10,14,55,12,43,21,7,5,15,20,105
OKC,2018-10-16,L,Away,GSW108-100OKC,0.363,33,91,0.270,10,37,0.649,24,37,45,16,29,21,12,6,15,21,100
GSW,2018-10-16,W,Home,OKC100-108GSW,0.442,42,95,0.269,7,26,0.944,17,18,58,17,41,28,7,7,21,29,108
PHI,2018-10-16,L,Away,BOS105-87PHI,0.391,34,87,0.192,5,26,0.583,14,24,47,6,41,18,8,5,16,20,87
MEM,2018-10-17,L,Away,IND111-83MEM,0.298,25,84,0.345,10,29,0.821,23,28,28,7,21,16,11,3,10,18,83
IND,2018-10-17,W,Home,MEM83-111IND,0.566,47,83,0.385,10,26,0.538,7,13,57,13,44,29,2,7,20,24,111
CHA,2018-10-17,L,Home,MIL113-112CHA,0.446,41,92,0.421,16,38,0.636,14,22,41,9,32,21,8,9,11,19,112
MIL,2018-10-17,W,Away,CHA112-113MIL,0.494,42,85,0.412,14,34,0.750,15,20,57,11,46,26,5,4,21,25,113
BKN,2018-10-17,L,Away,DET103-100BKN,0.488,40,82,0.185,5,27,0.682,15,22,39,5,34,28,9,5,19,23,100
DET,2018-10-17,W,Home,BKN100-103DET,0.424,39,92,0.250,6,24,0.864,19,22,46,14,32,21,5,5,17,20,103
MIA,2018-10-17,L,Away,ORL104-101MIA,0.392,38,97,0.273,9,33,0.727,16,22,52,14,38,16,4,5,17,28,101
ORL,2018-10-17,W,Home,MIA101-104ORL,0.415,39,94,0.280,7,25,0.613,19,31,51,14,37,20,7,7,12,25,104
ATL,2018-10-17,L,Away,NYK126-107ATL,0.456,41,90,0.278,10,36,0.833,15,18,45,7,38,19,7,3,24,30,107
DEN,2018-10-17,W,Away,LAC98-107DEN,0.379,33,87,0.333,8,24,0.786,33,42,56,14,42,20,6,8,11,22,107
CLE,2018-10-17,L,Away,TOR116-104CLE,0.400,34,85,0.368,7,19,0.744,29,39,49,14,35,17,4,0,16,25,104
HOU,2018-10-17,L,Home,NOP131-112HOU,0.424,39,92,0.333,16,48,0.750,18,24,37,8,29,21,8,7,12,22,112
NOP,2018-10-17,W,Away,HOU112-131NOP,0.531,52,98,0.400,10,25,0.773,17,22,54,14,40,36,8,3,12,25,131
SAS,2018-10-17,W,Home,MIN108-112SAS,0.430,40,93,0.440,11,25,0.724,21,29,52,19,33,22,3,4,12,22,112
MIN,2018-10-17,L,Away,SAS112-108MIN,0.429,39,91,0.316,6,19,0.889,24,27,46,14,32,20,9,2,11,27,108
UTA,2018-10-17,W,Away,SAC117-123UTA,0.519,41,79,0.481,13,27,0.737,28,38,44,5,39,21,8,4,17,19,123
SAC,2018-10-17,L,Home,UTA123-117SAC,0.516,49,95,0.368,7,19,0.667,12,18,37,5,32,17,8,3,9,27,117
DAL,2018-10-17,L,Away,PHX121-100DAL,0.432,38,88,0.303,10,33,0.700,14,20,38,10,28,28,7,5,9,16,100
PHX,2018-10-17,W,Home,DAL100-121PHX,0.543,44,81,0.559,19,34,0.875,14,16,44,6,38,35,5,2,12,22,121
LAC,2018-10-17,L,Home,DEN107-98LAC,0.402,35,87,0.286,8,28,0.833,20,24,47,9,38,21,3,9,14,32,98
TOR,2018-10-17,W,Home,CLE104-116TOR,0.489,45,92,0.424,14,33,0.600,12,20,44,8,36,21,6,7,11,29,116
NYK,2018-10-17,W,Home,ATL107-126NYK,0.455,45,99,0.364,12,33,0.774,24,31,46,10,36,21,12,6,16,23,126
