Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2018-11-01,W,Home,LAC113-122PHI,0.473,44,93,0.481,13,27,0.750,21,28,43,10,33,29,7,7,16,30,122
OKC,2018-11-01,W,Away,CHA107-111OKC,0.427,41,96,0.216,8,37,0.724,21,29,49,14,35,20,12,9,10,21,111
CHA,2018-11-01,L,Home,OKC111-107CHA,0.409,38,93,0.268,11,41,0.909,20,22,51,11,40,26,7,3,18,26,107
ATL,2018-11-01,L,Home,SAC146-115ATL,0.483,42,87,0.258,8,31,0.676,23,34,43,10,33,26,6,6,22,28,115
SAC,2018-11-01,W,Away,ATL115-146SAC,0.541,53,98,0.400,14,35,0.813,26,32,46,10,36,38,14,3,14,29,146
POR,2018-11-01,W,Home,NOP119-132POR,0.506,44,87,0.514,18,35,0.839,26,31,46,8,38,26,4,4,14,30,132
LAC,2018-11-01,L,Away,PHI122-113LAC,0.442,38,86,0.391,9,23,0.848,28,33,42,8,34,19,6,7,18,28,113
DEN,2018-11-01,W,Away,CLE91-110DEN,0.482,41,85,0.385,10,26,0.857,18,21,44,14,30,22,8,7,12,18,110
CLE,2018-11-01,L,Home,DEN110-91CLE,0.410,34,83,0.278,5,18,0.947,18,19,35,13,22,18,11,4,14,22,91
BOS,2018-11-01,W,Home,MIL113-117BOS,0.446,41,92,0.436,24,55,0.846,11,13,42,8,34,30,5,8,13,23,117
MIL,2018-11-01,L,Away,BOS117-113MIL,0.482,41,85,0.310,9,29,0.733,22,30,45,8,37,20,8,3,14,20,113
NOP,2018-11-01,L,Away,POR132-119NOP,0.426,40,94,0.276,8,29,0.838,31,37,44,14,30,23,7,3,13,24,119
OKC,2018-11-02,W,Away,WAS111-134OKC,0.570,49,86,0.469,15,32,0.808,21,26,38,7,31,34,13,5,13,20,134
WAS,2018-11-02,L,Home,OKC134-111WAS,0.512,44,86,0.300,9,30,0.778,14,18,30,6,24,27,6,4,19,21,111
UTA,2018-11-02,L,Home,MEM110-100UTA,0.468,36,77,0.389,14,36,0.560,14,25,39,10,29,21,3,5,14,25,100
