Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
LAC,2019-04-13,L,Away,GSW121-104LAC,0.400,38,95,0.367,11,30,0.773,17,22,40,7,33,24,10,7,18,22,104
BKN,2019-04-13,W,Away,PHI102-111BKN,0.432,38,88,0.423,11,26,0.923,24,26,45,10,35,15,9,2,12,27,111
PHI,2019-04-13,L,Home,BKN111-102PHI,0.407,35,86,0.120,3,25,0.690,29,42,50,16,34,20,6,11,13,24,102
TOR,2019-04-13,L,Home,ORL104-101TOR,0.455,40,88,0.333,12,36,0.643,9,14,45,6,39,23,4,4,13,19,101
ORL,2019-04-13,W,Away,TOR101-104ORL,0.400,36,90,0.483,14,29,0.900,18,20,48,10,38,19,9,4,11,19,104
SAS,2019-04-13,W,Away,DEN96-101SAS,0.482,40,83,0.467,7,15,0.700,14,20,47,10,37,20,4,4,11,17,101
DEN,2019-04-13,L,Home,SAS101-96DEN,0.420,37,88,0.214,6,28,0.667,16,24,46,13,33,25,8,3,10,18,96
GSW,2019-04-13,W,Home,LAC104-121GSW,0.489,45,92,0.467,14,30,0.850,17,20,54,12,42,31,9,14,21,22,121
IND,2019-04-14,L,Away,BOS84-74IND,0.333,28,84,0.222,6,27,0.571,12,21,42,9,33,22,8,5,13,20,74
BOS,2019-04-14,W,Home,IND74-84BOS,0.364,28,77,0.357,10,28,0.818,18,22,55,7,48,18,8,2,20,20,84
POR,2019-04-14,W,Home,OKC99-104POR,0.419,36,86,0.440,11,25,0.778,21,27,48,13,35,14,8,9,19,17,104
UTA,2019-04-14,L,Away,HOU122-90UTA,0.390,30,77,0.259,7,27,0.852,23,27,41,7,34,17,6,2,19,20,90
HOU,2019-04-14,W,Home,UTA90-122HOU,0.505,48,95,0.366,15,41,0.917,11,12,42,8,34,25,6,6,12,20,122
MIL,2019-04-14,W,Home,DET86-121MIL,0.489,44,90,0.349,15,43,0.692,18,26,54,8,46,31,7,8,10,16,121
DET,2019-04-14,L,Away,MIL121-86DET,0.380,35,92,0.296,8,27,0.615,8,13,46,7,39,22,7,2,13,21,86
OKC,2019-04-14,L,Away,POR104-99OKC,0.398,37,93,0.152,5,33,0.870,20,23,49,18,31,18,10,4,16,26,99
BKN,2019-04-15,L,Away,PHI145-123BKN,0.478,43,90,0.417,15,36,0.759,22,29,32,12,20,20,3,2,14,24,123
PHI,2019-04-15,W,Home,BKN123-145PHI,0.561,55,98,0.391,9,23,0.813,26,32,49,15,34,29,8,3,12,23,145
LAC,2019-04-15,W,Away,GSW131-135LAC,0.565,48,85,0.452,14,31,0.806,25,31,34,8,26,34,14,1,20,33,135
GSW,2019-04-15,L,Home,LAC135-131GSW,0.533,40,75,0.393,11,28,0.889,40,45,38,7,31,31,11,6,22,31,131
