Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
BOS,2019-05-08,L,Away,MIL116-91BOS,0.312,29,93,0.179,7,39,0.765,26,34,48,12,36,19,9,1,14,18,91
MIL,2019-05-08,W,Home,BOS91-116MIL,0.447,42,94,0.319,15,47,0.773,17,22,58,12,46,27,8,7,17,23,116
HOU,2019-05-08,L,Away,GSW104-99HOU,0.418,33,79,0.293,12,41,0.875,21,24,39,8,31,19,10,3,17,20,99
GSW,2019-05-08,W,Home,HOU99-104GSW,0.459,39,85,0.351,13,37,0.722,13,18,42,12,30,28,6,1,15,19,104
PHI,2019-05-09,W,Home,TOR101-112PHI,0.461,41,89,0.357,10,28,0.769,20,26,52,16,36,27,5,3,18,22,112
TOR,2019-05-09,L,Away,PHI112-101TOR,0.432,35,81,0.250,9,36,0.759,22,29,34,9,25,25,9,4,12,24,101
POR,2019-05-09,W,Home,DEN108-119POR,0.461,41,89,0.455,15,33,0.733,22,30,43,11,32,18,4,5,9,20,119
DEN,2019-05-09,L,Away,POR119-108DEN,0.384,33,86,0.375,12,32,0.938,30,32,44,16,28,22,7,3,7,23,108
HOU,2019-05-10,L,Home,GSW118-113HOU,0.472,42,89,0.436,17,39,0.706,12,17,40,12,28,21,9,1,17,22,113
GSW,2019-05-10,W,Away,HOU113-118GSW,0.494,42,85,0.421,16,38,0.783,18,23,35,10,25,25,9,7,17,19,118
