Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2018-04-03,W,Home,BKN95-121PHI,0.549,50,91,0.429,9,21,0.667,12,18,55,7,48,28,10,10,10,22,121
GSW,2018-04-03,W,Away,OKC107-111GSW,0.494,41,83,0.276,8,29,0.875,21,24,40,6,34,27,9,5,13,25,111
OKC,2018-04-03,L,Home,GSW111-107OKC,0.376,35,93,0.237,9,38,0.757,28,37,58,22,36,13,8,3,16,20,107
DEN,2018-04-03,W,Home,IND104-107DEN,0.461,41,89,0.313,10,32,0.75,15,20,49,13,36,31,10,8,16,19,107
IND,2018-04-03,L,Away,DEN107-104IND,0.488,41,84,0.474,9,19,0.813,13,16,35,6,29,23,11,4,13,24,104
BOS,2018-04-03,L,Away,MIL106-102BOS,0.469,38,81,0.304,7,23,0.792,19,24,37,10,27,19,10,6,17,17,102
MIL,2018-04-03,W,Home,BOS102-106MIL,0.544,43,79,0.25,5,20,0.714,15,21,41,9,32,27,6,5,15,23,106
POR,2018-04-03,L,Away,DAL115-109POR,0.448,39,87,0.25,10,40,0.875,21,24,46,5,41,28,6,2,13,20,109
DAL,2018-04-03,W,Home,POR109-115DAL,0.457,42,92,0.386,17,44,0.7,14,20,43,8,35,27,8,5,7,16,115
LAL,2018-04-03,L,Away,UTA117-110LAL,0.486,36,74,0.5,14,28,0.667,24,36,39,7,32,23,7,5,16,23,110
UTA,2018-04-03,W,Home,LAL110-117UTA,0.483,43,89,0.424,14,33,0.63,17,27,47,14,33,29,10,5,14,22,117
SAS,2018-04-03,L,Away,LAC113-110SAS,0.443,39,88,0.333,8,24,0.857,24,28,39,10,29,24,13,10,12,29,110
LAC,2018-04-03,W,Home,SAS110-113LAC,0.451,37,82,0.313,5,16,0.791,34,43,47,12,35,21,8,2,15,23,113
BKN,2018-04-03,L,Away,PHI121-95BKN,0.42,34,81,0.405,17,42,0.435,10,23,36,3,33,20,5,6,18,15,95
MIA,2018-04-03,W,Home,ATL98-101MIA,0.451,41,91,0.242,8,33,0.846,11,13,46,11,35,22,10,8,14,16,101
ATL,2018-04-03,L,Away,MIA101-98ATL,0.42,37,88,0.394,13,33,0.733,11,15,49,12,37,24,10,1,18,15,98
CHI,2018-04-03,W,Home,CHA114-120CHI,0.465,46,99,0.441,15,34,0.722,13,18,44,11,33,26,9,4,8,20,120
CHA,2018-04-03,L,Away,CHI120-114CHA,0.494,40,81,0.382,13,34,0.75,21,28,49,10,39,24,3,4,20,16,114
ORL,2018-04-03,W,Away,NYK73-97ORL,0.42,37,88,0.306,11,36,0.667,12,18,53,11,42,28,7,5,11,12,97
SAC,2018-04-03,L,Away,PHX97-94SAC,0.371,33,89,0.407,11,27,0.739,17,23,40,10,30,20,5,5,10,24,94
NYK,2018-04-03,L,Home,ORL97-73NYK,0.349,30,86,0.148,4,27,0.75,9,12,42,7,35,17,5,9,12,17,73
CLE,2018-04-03,W,Home,TOR106-112CLE,0.494,38,77,0.433,13,30,0.885,23,26,42,2,40,18,8,6,12,17,112
TOR,2018-04-03,L,Away,CLE112-106TOR,0.447,42,94,0.324,11,34,0.786,11,14,46,9,37,28,7,1,11,23,106
WAS,2018-04-03,L,Away,HOU120-104WAS,0.528,38,72,0.48,12,25,0.696,16,23,36,3,33,25,6,1,17,21,104
HOU,2018-04-03,W,Home,WAS104-120HOU,0.512,43,84,0.348,16,46,0.667,18,27,46,10,36,26,13,3,12,14,120
PHX,2018-04-03,W,Home,SAC94-97PHX,0.455,35,77,0.353,6,17,0.636,21,33,52,6,46,18,6,5,15,22,97
TOR,2018-04-04,W,Home,BOS78-96TOR,0.435,40,92,0.303,10,33,0.75,6,8,48,12,36,23,10,6,11,25,96
NOP,2018-04-04,W,Home,MEM95-123NOP,0.523,45,86,0.444,16,36,0.895,17,19,48,11,37,32,14,7,18,19,123
MEM,2018-04-04,L,Away,NOP123-95MEM,0.398,37,93,0.313,10,32,0.733,11,15,37,11,26,19,9,1,21,19,95
BOS,2018-04-04,L,Away,TOR96-78BOS,0.333,25,75,0.136,3,22,0.893,25,28,43,8,35,10,7,3,17,16,78
MIA,2018-04-04,W,Away,ATL86-115MIA,0.447,42,94,0.447,17,38,0.824,14,17,54,10,44,23,9,10,12,17,115
DET,2018-04-04,L,Home,PHI115-108DET,0.443,39,88,0.444,16,36,0.609,14,23,42,9,33,30,4,5,18,19,108
DAL,2018-04-04,L,Away,ORL105-100DAL,0.438,39,89,0.333,10,30,0.706,12,17,43,11,32,24,3,1,12,23,100
ORL,2018-04-04,W,Home,DAL100-105ORL,0.453,39,86,0.276,8,29,0.704,19,27,47,12,35,27,4,10,13,15,105
PHI,2018-04-04,W,Away,DET108-115PHI,0.494,44,89,0.433,13,30,0.737,14,19,44,7,37,32,11,3,13,17,115
LAL,2018-04-04,W,Home,SAS112-122LAL,0.547,47,86,0.542,13,24,0.833,15,18,44,4,40,32,4,3,14,22,122
SAS,2018-04-04,L,Away,LAL122-112SAS,0.433,42,97,0.391,9,23,0.704,19,27,46,15,31,25,7,5,10,20,112
ATL,2018-04-04,L,Home,MIA115-86ATL,0.367,33,90,0.3,9,30,0.647,11,17,48,10,38,20,5,6,16,16,86
MIN,2018-04-05,L,Away,DEN100-96MIN,0.429,39,91,0.25,6,24,0.75,12,16,47,12,35,22,4,1,8,19,96
DEN,2018-04-05,W,Home,MIN96-100DEN,0.393,35,89,0.306,11,36,0.864,19,22,47,13,34,21,3,7,11,17,100
BKN,2018-04-05,W,Away,MIL111-119BKN,0.547,41,75,0.487,19,39,0.857,18,21,41,4,37,30,3,12,20,21,119
MIL,2018-04-05,L,Home,BKN119-111MIL,0.441,41,93,0.25,5,20,0.8,24,30,41,12,29,21,12,2,8,19,111
LAC,2018-04-05,L,Away,UTA117-95LAC,0.443,35,79,0.176,3,17,0.786,22,28,39,11,28,18,7,3,16,25,95
UTA,2018-04-05,W,Home,LAC95-117UTA,0.53,44,83,0.37,10,27,0.679,19,28,38,10,28,27,7,8,11,22,117
IND,2018-04-05,W,Home,GSW106-126IND,0.538,50,93,0.517,15,29,0.733,11,15,47,13,34,32,11,3,13,24,126
GSW,2018-04-05,L,Away,IND126-106GSW,0.446,37,83,0.31,9,29,0.958,23,24,39,13,26,29,6,5,16,14,106
WAS,2018-04-05,L,Away,CLE119-115WAS,0.5,47,94,0.429,9,21,0.857,12,14,41,12,29,34,8,7,15,23,115
CLE,2018-04-05,W,Home,WAS115-119CLE,0.545,42,77,0.481,13,27,0.786,22,28,35,5,30,26,10,3,16,14,119
HOU,2018-04-05,W,Home,POR94-96HOU,0.466,34,73,0.351,13,37,0.625,15,24,38,6,32,16,10,5,17,16,96
POR,2018-04-05,L,Away,HOU96-94POR,0.459,39,85,0.318,7,22,0.643,9,14,47,12,35,16,10,2,18,20,94
ORL,2018-04-06,L,Home,CHA137-100ORL,0.447,42,94,0.391,9,23,0.538,7,13,36,12,24,27,2,3,9,19,100
SAC,2018-04-06,W,Away,MEM93-94SAC,0.471,40,85,0.25,6,24,0.667,8,12,42,10,32,23,8,5,16,21,94
MEM,2018-04-06,L,Home,SAC94-93MEM,0.44,37,84,0.25,6,24,0.722,13,18,38,12,26,20,7,7,15,12,93
TOR,2018-04-06,W,Home,IND73-92TOR,0.429,36,84,0.3,9,30,0.688,11,16,52,9,43,27,9,8,23,17,92
IND,2018-04-06,L,Away,TOR92-73IND,0.299,26,87,0.333,7,21,0.7,14,20,44,12,32,16,8,8,13,21,73
WAS,2018-04-06,L,Home,ATL103-97WAS,0.402,35,87,0.36,9,25,0.783,18,23,45,9,36,18,8,4,12,15,97
