Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
OKC,2019-04-23,L,Away,POR118-115OKC,0.547,47,86,0.444,12,27,0.600,9,15,39,6,33,24,4,8,15,22,115
POR,2019-04-23,W,Home,OKC115-118POR,0.469,45,96,0.371,13,35,0.652,15,23,45,13,32,22,8,5,10,18,118
DEN,2019-04-23,W,Home,SAS90-108DEN,0.500,39,78,0.424,14,33,0.800,16,20,49,7,42,25,4,6,14,21,108
SAS,2019-04-23,L,Away,DEN108-90SAS,0.411,37,90,0.292,7,24,0.600,9,15,42,10,32,17,6,3,8,20,90
BKN,2019-04-23,L,Away,PHI122-100BKN,0.387,36,93,0.290,9,31,0.760,19,25,41,9,32,26,10,4,15,13,100
PHI,2019-04-23,W,Home,BKN100-122PHI,0.510,51,100,0.424,14,33,0.667,6,9,56,11,45,35,10,3,20,21,122
TOR,2019-04-23,W,Home,ORL96-115TOR,0.482,41,85,0.417,15,36,0.857,18,21,48,8,40,34,8,3,14,30,115
ORL,2019-04-23,L,Away,TOR115-96ORL,0.386,32,83,0.265,9,34,0.742,23,31,48,12,36,20,7,5,17,21,96
