Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2016-04-05,W,Home,NOP93-107PHI,0.455,40,88,0.382,13,34,0.824,14,17,41,11,30,31,10,6,10,15,107
LAL,2016-04-05,L,Away,LAC103-81LAL,0.313,26,83,0.300,6,20,0.920,23,25,43,14,29,11,10,3,15,23,81
LAC,2016-04-05,W,Home,LAL81-103LAC,0.513,40,78,0.350,7,20,0.615,16,26,46,6,40,26,11,4,14,17,103
ATL,2016-04-05,W,Home,PHX90-103ATL,0.411,39,95,0.324,11,34,0.737,14,19,50,13,37,26,16,3,17,21,103
DET,2016-04-05,L,Away,MIA107-89DET,0.400,32,80,0.227,5,22,0.800,20,25,43,12,31,14,7,1,13,14,89
NOP,2016-04-05,L,Away,PHI107-93NOP,0.451,37,82,0.389,7,18,0.750,12,16,49,14,35,20,5,1,17,16,93
OKC,2016-04-06,L,Away,POR120-115OKC,0.473,43,91,0.409,9,22,0.645,20,31,50,19,31,18,9,2,17,20,115
BKN,2016-04-06,L,Away,WAS121-103BKN,0.424,39,92,0.412,7,17,0.750,18,24,38,11,27,26,7,4,11,21,103
WAS,2016-04-06,W,Home,BKN103-121WAS,0.505,48,95,0.286,8,28,0.850,17,20,53,16,37,36,7,10,12,19,121
DAL,2016-04-06,W,Home,HOU86-88DAL,0.413,33,80,0.303,10,33,0.857,12,14,40,13,27,19,9,4,14,20,88
HOU,2016-04-06,L,Away,DAL88-86HOU,0.436,34,78,0.300,6,20,0.667,12,18,41,12,29,19,6,4,16,17,86
IND,2016-04-06,W,Home,CLE109-123IND,0.563,45,80,0.516,16,31,0.773,17,22,38,9,29,25,9,1,14,24,123
CLE,2016-04-06,L,Away,IND123-109CLE,0.473,35,74,0.276,8,29,0.912,31,34,33,7,26,15,7,3,10,19,109
POR,2016-04-06,W,Home,OKC115-120POR,0.512,43,84,0.455,15,33,0.792,19,24,39,9,30,32,11,6,15,23,120
DET,2016-04-06,W,Away,ORL104-108DET,0.453,39,86,0.407,11,27,0.613,19,31,44,12,32,24,9,6,12,16,108
NOP,2016-04-06,L,Away,BOS104-97NOP,0.436,34,78,0.375,9,24,0.870,20,23,49,8,41,21,5,2,23,28,97
BOS,2016-04-06,W,Home,NOP97-104BOS,0.414,36,87,0.294,10,34,0.815,22,27,41,8,33,24,10,7,10,20,104
NYK,2016-04-06,L,Home,CHA111-97NYK,0.474,37,78,0.385,10,26,0.867,13,15,43,10,33,24,5,6,18,16,97
CHA,2016-04-06,W,Away,NYK97-111CHA,0.467,42,90,0.462,12,26,0.882,15,17,38,11,27,19,9,3,8,14,111
LAL,2016-04-06,L,Home,LAC91-81LAL,0.356,32,90,0.211,4,19,0.765,13,17,49,16,33,12,6,1,12,16,81
LAC,2016-04-06,W,Away,LAL81-91LAC,0.446,37,83,0.280,7,25,0.714,10,14,49,10,39,23,10,6,11,17,91
ORL,2016-04-06,L,Home,DET108-104ORL,0.478,43,90,0.267,4,15,0.737,14,19,48,12,36,25,7,8,14,23,104
MIN,2016-04-07,W,Away,SAC97-105MIN,0.450,36,80,0.524,11,21,0.710,22,31,43,13,30,25,11,4,16,17,105
SAC,2016-04-07,L,Home,MIN105-97SAC,0.424,36,85,0.353,6,17,0.905,19,21,47,17,30,19,11,5,20,23,97
ATL,2016-04-07,W,Home,TOR87-95ATL,0.434,33,76,0.375,12,32,0.810,17,21,41,5,36,23,4,12,13,19,95
