Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
HOU,2018-05-28,L,Home,GSW101-92HOU,0.400,36,90,0.159,7,44,0.591,13,22,44,17,27,17,13,3,12,17,92
GSW,2018-05-28,W,Away,HOU92-101GSW,0.488,39,80,0.410,16,39,0.500,7,14,42,11,31,25,9,7,17,22,101
CLE,2018-05-31,L,Away,GSW124-114CLE,0.444,44,99,0.270,10,37,0.727,16,22,53,19,34,18,5,3,12,18,114
GSW,2018-05-31,W,Home,CLE114-124GSW,0.511,46,90,0.361,13,36,0.950,19,20,38,4,34,31,10,6,8,18,124
GSW,2018-06-03,W,Home,CLE103-122GSW,0.573,47,82,0.417,15,36,0.619,13,21,41,7,34,28,3,8,12,25,122
CLE,2018-06-03,L,Away,GSW122-103CLE,0.411,37,90,0.333,9,27,0.769,20,26,42,16,26,25,9,4,11,15,103
GSW,2018-06-06,W,Away,CLE102-110GSW,0.519,42,81,0.346,9,26,0.895,17,19,37,6,31,27,6,5,11,20,110
CLE,2018-06-06,L,Home,GSW110-102CLE,0.435,40,92,0.290,9,31,0.765,13,17,47,15,32,20,6,4,14,18,102
GSW,2018-06-08,W,Away,CLE85-108GSW,0.453,39,86,0.368,14,38,1.000,16,16,44,10,34,25,7,13,10,24,108
CLE,2018-06-08,L,Home,GSW108-85CLE,0.345,30,87,0.296,8,27,0.680,17,25,44,17,27,21,5,5,11,22,85
