Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
MEM,2017-04-15,L,Away,SAS111-82MEM,0.392,31,79,0.350,7,20,0.765,13,17,35,8,27,17,7,6,9,20,82
MIL,2017-04-15,W,Away,TOR83-97MIL,0.447,38,85,0.391,9,23,0.800,12,15,43,9,34,22,5,5,5,23,97
TOR,2017-04-15,L,Home,MIL97-83TOR,0.360,27,75,0.217,5,23,0.727,24,33,47,8,39,15,3,4,11,21,83
UTA,2017-04-15,W,Away,LAC95-97UTA,0.481,38,79,0.421,8,19,0.684,13,19,34,6,28,21,7,4,13,19,97
SAS,2017-04-15,W,Home,MEM82-111SAS,0.539,41,76,0.526,10,19,0.760,19,25,42,8,34,16,4,11,10,20,111
IND,2017-04-15,L,Away,CLE109-108IND,0.494,40,81,0.458,11,24,0.850,17,20,41,12,29,21,6,1,13,25,108
LAC,2017-04-15,L,Home,UTA97-95LAC,0.444,36,81,0.333,8,24,0.882,15,17,40,8,32,20,6,4,15,18,95
CLE,2017-04-15,W,Home,IND108-109CLE,0.538,42,78,0.393,11,28,0.519,14,27,34,10,24,26,7,2,11,19,109
GSW,2017-04-16,W,Home,POR109-121GSW,0.531,43,81,0.407,11,27,0.857,24,28,45,9,36,26,7,10,16,24,121
POR,2017-04-16,L,Away,GSW121-109POR,0.430,40,93,0.367,11,30,0.818,18,22,38,11,27,15,8,3,15,25,109
CHI,2017-04-16,W,Away,BOS102-106CHI,0.429,39,91,0.308,8,26,0.870,20,23,53,20,33,22,10,7,19,18,106
BOS,2017-04-16,L,Home,CHI106-102BOS,0.430,37,86,0.368,14,38,0.737,14,19,36,12,24,27,9,4,16,20,102
OKC,2017-04-16,L,Away,HOU118-87OKC,0.370,30,81,0.310,9,29,0.783,18,23,41,7,34,19,8,5,15,19,87
HOU,2017-04-16,W,Home,OKC87-118HOU,0.495,45,91,0.303,10,33,0.692,18,26,56,14,42,21,8,3,11,19,118
WAS,2017-04-16,W,Home,ATL107-114WAS,0.450,45,100,0.286,8,28,0.941,16,17,42,15,27,28,8,9,12,25,114
ATL,2017-04-16,L,Away,WAS114-107ATL,0.436,34,78,0.280,7,25,0.821,32,39,48,13,35,18,5,3,21,22,107
MEM,2017-04-17,L,Away,SAS96-82MEM,0.378,31,82,0.259,7,27,0.867,13,15,35,9,26,19,8,1,10,22,82
SAS,2017-04-17,W,Home,MEM82-96SAS,0.459,28,61,0.391,9,23,0.969,31,32,39,5,34,14,4,4,16,13,96
CLE,2017-04-17,W,Home,IND111-117CLE,0.553,42,76,0.419,13,31,0.870,20,23,37,7,30,19,6,8,19,16,117
IND,2017-04-17,L,Away,CLE117-111IND,0.512,43,84,0.400,8,20,0.739,17,23,33,9,24,23,14,3,14,21,111
TOR,2017-04-18,W,Home,MIL100-106TOR,0.481,37,77,0.483,14,29,0.720,18,25,40,6,34,24,6,4,13,22,106
MIL,2017-04-18,L,Away,TOR106-100MIL,0.414,36,87,0.478,11,23,0.895,17,19,40,12,28,20,6,4,12,16,100
LAC,2017-04-18,W,Home,UTA91-99LAC,0.524,44,84,0.300,6,20,0.625,5,8,39,8,31,26,7,4,11,23,99
CHI,2017-04-18,W,Away,BOS97-111CHI,0.506,45,89,0.400,10,25,0.786,11,14,44,12,32,28,12,6,12,17,111
BOS,2017-04-18,L,Home,CHI111-97BOS,0.463,38,82,0.303,10,33,0.579,11,19,38,11,27,26,6,4,16,17,97
UTA,2017-04-18,L,Away,LAC99-91UTA,0.457,32,70,0.400,10,25,0.773,17,22,33,3,30,15,7,2,14,16,91
GSW,2017-04-19,W,Home,POR81-110GSW,0.440,40,91,0.313,10,32,0.833,20,24,54,11,43,31,8,11,17,17,110
POR,2017-04-19,L,Away,GSW110-81POR,0.333,30,90,0.206,7,34,0.737,14,19,47,11,36,17,9,7,19,19,81
OKC,2017-04-19,L,Away,HOU115-111OKC,0.412,40,97,0.233,7,30,0.857,24,28,48,17,31,20,9,11,7,24,111
HOU,2017-04-19,W,Home,OKC111-115HOU,0.487,38,78,0.379,11,29,0.757,28,37,37,5,32,20,5,8,13,21,115
ATL,2017-04-19,L,Away,WAS109-101ATL,0.405,32,79,0.200,4,20,0.868,33,38,41,10,31,17,6,6,18,26,101
WAS,2017-04-19,W,Home,ATL101-109WAS,0.453,39,86,0.318,7,22,0.727,24,33,43,11,32,22,10,10,11,29,109
SAS,2017-04-20,L,Away,MEM105-94SAS,0.472,34,72,0.417,10,24,0.571,16,28,42,12,30,16,1,3,12,21,94
MEM,2017-04-20,W,Home,SAS94-105MEM,0.506,39,77,0.409,9,22,0.900,18,20,33,6,27,21,2,3,5,24,105
IND,2017-04-20,L,Home,CLE119-114IND,0.400,38,95,0.390,16,41,0.846,22,26,52,17,35,25,4,5,11,23,114
TOR,2017-04-20,L,Away,MIL104-77TOR,0.338,24,71,0.273,6,22,0.767,23,30,40,9,31,11,6,4,16,21,77
CLE,2017-04-20,W,Away,IND114-119CLE,0.448,39,87,0.477,21,44,0.667,20,30,40,8,32,23,6,7,8,23,119
MIL,2017-04-20,W,Home,TOR77-104MIL,0.527,39,74,0.522,12,23,0.737,14,19,36,3,33,29,6,4,13,25,104
HOU,2017-04-21,L,Away,OKC115-113HOU,0.458,38,83,0.286,10,35,0.818,27,33,42,11,31,10,4,6,16,24,113
LAC,2017-04-21,W,Away,UTA106-111LAC,0.547,41,75,0.368,7,19,0.667,22,33,41,9,32,16,8,3,8,20,111
OKC,2017-04-21,W,Home,HOU113-115OKC,0.554,46,83,0.474,9,19,0.609,14,23,40,9,31,24,8,5,11,21,115
BOS,2017-04-21,W,Away,CHI87-104BOS,0.477,41,86,0.459,17,37,0.714,5,7,37,7,30,34,11,2,13,12,104
UTA,2017-04-21,L,Home,LAC111-106UTA,0.522,36,69,0.412,14,34,0.690,20,29,27,3,24,16,5,2,11,26,106
CHI,2017-04-21,L,Home,BOS104-87CHI,0.393,33,84,0.286,6,21,1.000,15,15,52,15,37,14,7,8,18,15,87
POR,2017-04-22,L,Home,GSW119-113POR,0.433,39,90,0.394,13,33,0.815,22,27,52,11,41,17,5,6,16,23,113
GSW,2017-04-22,W,Away,POR113-119GSW,0.440,40,91,0.333,12,36,0.771,27,35,42,6,36,25,11,11,7,19,119
WAS,2017-04-22,L,Away,ATL116-98WAS,0.416,37,89,0.241,7,29,0.850,17,20,42,6,36,16,6,4,16,28,98
ATL,2017-04-22,W,Home,WAS98-116ATL,0.494,44,89,0.360,9,25,0.594,19,32,50,11,39,26,6,5,12,17,116
