Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHX,2018-04-01,L,Away,GSW117-107PHX,0.456,41,90,0.355,11,31,0.875,14,16,42,9,33,26,8,4,15,12,107
NOP,2018-04-01,L,Home,OKC109-104NOP,0.458,38,83,0.344,11,32,0.739,17,23,44,7,37,28,13,3,21,20,104
OKC,2018-04-01,W,Away,NOP104-109OKC,0.432,41,95,0.290,9,31,0.720,18,25,51,14,37,24,13,4,18,22,109
PHI,2018-04-01,W,Away,CHA102-119PHI,0.511,48,94,0.438,14,32,0.900,9,10,44,7,37,36,15,5,14,24,119
CHA,2018-04-01,L,Home,PHI119-102CHA,0.402,33,82,0.300,9,30,0.794,27,34,40,9,31,17,8,7,16,13,102
MIN,2018-04-01,L,Home,UTA121-97MIN,0.422,38,90,0.333,8,24,0.929,13,14,32,7,25,19,10,1,14,17,97
UTA,2018-04-01,W,Away,MIN97-121UTA,0.605,46,76,0.393,11,28,0.720,18,25,45,6,39,29,8,7,17,19,121
DEN,2018-04-01,W,Home,MIL125-128DEN,0.444,40,90,0.306,11,36,0.804,37,46,57,17,40,27,2,8,17,23,128
MIL,2018-04-01,L,Away,DEN128-125MIL,0.450,45,100,0.364,12,33,0.852,23,27,45,11,34,27,9,3,9,37,125
ATL,2018-04-01,W,Home,ORL88-94ATL,0.482,41,85,0.306,11,36,1.000,1,1,52,5,47,33,0,3,16,15,94
ORL,2018-04-01,L,Away,ATL94-88ORL,0.344,33,96,0.278,10,36,0.923,12,13,41,11,30,19,8,6,5,10,88
LAC,2018-04-01,L,Home,IND111-104LAC,0.512,42,82,0.360,9,25,0.786,11,14,36,12,24,24,6,6,13,19,104
IND,2018-04-01,W,Away,LAC104-111IND,0.488,42,86,0.393,11,28,0.762,16,21,40,15,25,23,8,4,11,12,111
GSW,2018-04-01,W,Home,PHX107-117GSW,0.539,48,89,0.464,13,28,0.889,8,9,45,7,38,31,10,7,15,14,117
MEM,2018-04-01,L,Away,POR113-98MEM,0.455,40,88,0.429,9,21,0.750,9,12,42,9,33,20,7,5,17,19,98
HOU,2018-04-01,L,Away,SAS100-83HOU,0.338,26,77,0.226,7,31,0.828,24,29,42,8,34,12,3,3,10,19,83
SAS,2018-04-01,W,Home,HOU83-100SAS,0.494,40,81,0.353,6,17,0.667,14,21,48,8,40,19,8,8,9,19,100
LAL,2018-04-01,L,Home,SAC84-83LAL,0.400,30,75,0.219,7,32,0.640,16,25,47,10,37,18,5,6,15,15,83
SAC,2018-04-01,W,Away,LAL83-84SAC,0.380,35,92,0.292,7,24,0.500,7,14,47,13,34,17,9,5,10,20,84
WAS,2018-04-01,L,Away,CHI113-94WAS,0.457,37,81,0.267,8,30,1.000,12,12,37,6,31,27,5,4,17,12,94
POR,2018-04-01,W,Home,MEM98-113POR,0.464,39,84,0.316,12,38,0.920,23,25,43,8,35,28,9,2,14,15,113
DAL,2018-04-01,L,Away,CLE98-87DAL,0.405,32,79,0.351,13,37,0.909,10,11,38,4,34,15,5,3,15,20,87
CLE,2018-04-01,W,Home,DAL87-98CLE,0.412,35,85,0.423,11,26,0.739,17,23,50,10,40,21,7,1,11,12,98
DET,2018-04-01,W,Away,BKN96-108DET,0.452,38,84,0.368,7,19,0.781,25,32,53,10,43,17,9,3,11,16,108
BKN,2018-04-01,L,Home,DET108-96BKN,0.425,37,87,0.279,12,43,0.667,10,15,40,6,34,23,5,5,12,22,96
CHI,2018-04-01,W,Home,WAS94-113CHI,0.524,43,82,0.529,18,34,0.692,9,13,40,6,34,30,7,1,17,17,113
LAC,2018-04-03,W,Home,SAS110-113LAC,0.451,37,82,0.313,5,16,0.791,34,43,47,12,35,21,8,2,15,23,113
OKC,2018-04-03,L,Home,GSW111-107OKC,0.376,35,93,0.237,9,38,0.757,28,37,58,22,36,13,8,3,16,20,107
IND,2018-04-03,L,Away,DEN107-104IND,0.488,41,84,0.474,9,19,0.813,13,16,35,6,29,23,11,4,13,24,104
DEN,2018-04-03,W,Home,IND104-107DEN,0.461,41,89,0.313,10,32,0.750,15,20,49,13,36,31,10,8,16,19,107
POR,2018-04-03,L,Away,DAL115-109POR,0.448,39,87,0.250,10,40,0.875,21,24,46,5,41,28,6,2,13,20,109
