Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2018-05-07,W,Home,BOS92-103PHI,0.404,38,94,0.269,7,26,0.769,20,26,53,16,37,24,6,3,10,23,103
NOP,2018-05-08,L,Away,GSW113-104NOP,0.466,41,88,0.417,10,24,0.750,12,16,44,4,40,26,7,4,14,12,104
GSW,2018-05-08,W,Home,NOP104-113GSW,0.485,48,99,0.259,7,27,0.833,10,12,52,11,41,35,10,2,13,18,113
HOU,2018-05-08,W,Home,UTA102-112HOU,0.482,40,83,0.462,18,39,0.824,14,17,40,6,34,21,10,8,10,18,112
UTA,2018-05-08,L,Away,HOU112-102UTA,0.469,38,81,0.357,10,28,0.762,16,21,41,11,30,24,5,5,12,18,102
BOS,2018-05-09,W,Home,PHI112-114BOS,0.447,38,85,0.350,7,20,0.756,31,41,39,13,26,18,12,3,11,24,114
PHI,2018-05-09,L,Away,BOS114-112PHI,0.488,40,82,0.381,8,21,0.774,24,31,48,12,36,26,5,6,17,31,112
CLE,2018-05-13,L,Away,BOS108-83CLE,0.360,31,86,0.154,4,26,0.850,17,20,40,9,31,18,4,3,10,12,83
BOS,2018-05-13,W,Home,CLE83-108BOS,0.512,43,84,0.367,11,30,0.846,11,13,48,6,42,27,6,4,11,17,108
HOU,2018-05-14,L,Home,GSW119-106HOU,0.459,39,85,0.351,13,37,0.714,15,21,42,7,35,18,5,3,16,23,106
GSW,2018-05-14,W,Away,HOU106-119GSW,0.525,42,80,0.394,13,33,0.880,22,25,37,3,34,24,9,4,9,17,119
CLE,2018-05-15,L,Away,BOS107-94CLE,0.463,37,80,0.323,10,31,0.588,10,17,45,8,37,18,2,5,15,21,94
BOS,2018-05-15,W,Home,CLE94-107BOS,0.435,40,92,0.323,10,31,0.850,17,20,46,11,35,24,8,2,6,18,107
GSW,2018-05-16,L,Away,HOU127-105GSW,0.459,39,85,0.300,9,30,0.818,18,22,36,9,27,21,6,4,15,22,105
HOU,2018-05-16,W,Home,GSW105-127HOU,0.511,45,88,0.381,16,42,0.778,21,27,47,10,37,23,8,1,14,24,127
BOS,2018-05-19,L,Away,CLE116-86BOS,0.392,29,74,0.273,6,22,0.786,22,28,34,6,28,16,4,4,15,25,86
CLE,2018-05-19,W,Home,BOS86-116CLE,0.487,37,76,0.500,17,34,0.833,25,30,45,8,37,23,9,3,15,23,116
GSW,2018-05-20,W,Home,HOU85-126GSW,0.522,48,92,0.406,13,32,0.944,17,18,49,11,38,20,11,7,8,16,126
HOU,2018-05-20,L,Away,GSW126-85HOU,0.395,32,81,0.324,11,34,0.769,10,13,41,10,31,19,3,5,20,19,85
CLE,2018-05-21,W,Home,BOS102-111CLE,0.506,41,81,0.348,8,23,0.724,21,29,47,9,38,15,6,8,19,23,111
BOS,2018-05-21,L,Away,CLE111-102BOS,0.412,35,85,0.321,9,28,0.767,23,30,37,9,28,21,9,3,10,26,102
GSW,2018-05-22,L,Home,HOU95-92GSW,0.393,35,89,0.333,9,27,0.929,13,14,49,16,33,14,6,3,16,24,92
HOU,2018-05-22,W,Away,GSW92-95HOU,0.390,30,77,0.316,12,38,0.852,23,27,41,8,33,12,7,9,13,19,95
BOS,2018-05-23,W,Home,CLE83-96BOS,0.365,31,85,0.333,13,39,0.913,21,23,45,7,38,18,10,6,10,19,96
CLE,2018-05-23,L,Away,BOS96-83CLE,0.419,31,74,0.265,9,34,0.632,12,19,39,3,36,17,3,7,15,19,83
GSW,2018-05-24,L,Away,HOU98-94GSW,0.444,32,72,0.385,10,26,0.870,20,23,41,4,37,18,7,1,18,21,94
HOU,2018-05-24,W,Home,GSW94-98HOU,0.372,29,78,0.302,13,43,0.844,27,32,40,8,32,12,10,3,12,19,98
BOS,2018-05-25,L,Away,CLE109-99BOS,0.514,38,74,0.429,12,28,0.550,11,20,31,5,26,25,5,2,14,18,99
CLE,2018-05-25,W,Home,BOS99-109CLE,0.471,41,87,0.391,9,23,0.818,18,22,44,15,29,16,8,9,11,19,109
GSW,2018-05-26,W,Home,HOU86-115GSW,0.494,43,87,0.421,16,38,0.684,13,19,47,13,34,26,11,10,12,17,115
HOU,2018-05-26,L,Away,GSW115-86HOU,0.403,31,77,0.385,15,39,0.529,9,17,38,7,31,13,8,2,21,16,86
CLE,2018-05-27,W,Away,BOS79-87CLE,0.455,30,66,0.257,9,35,0.720,18,25,41,2,39,15,2,4,13,21,87
BOS,2018-05-27,L,Home,CLE87-79BOS,0.341,29,85,0.179,7,39,0.737,14,19,42,11,31,18,6,0,6,20,79
GSW,2018-05-28,W,Away,HOU92-101GSW,0.488,39,80,0.410,16,39,0.500,7,14,42,11,31,25,9,7,17,22,101
HOU,2018-05-28,L,Home,GSW101-92HOU,0.400,36,90,0.159,7,44,0.591,13,22,44,17,27,17,13,3,12,17,92
CLE,2018-05-31,L,Away,GSW124-114CLE,0.444,44,99,0.270,10,37,0.727,16,22,53,19,34,18,5,3,12,18,114
GSW,2018-05-31,W,Home,CLE114-124GSW,0.511,46,90,0.361,13,36,0.950,19,20,38,4,34,31,10,6,8,18,124
CLE,2018-06-03,L,Away,GSW122-103CLE,0.411,37,90,0.333,9,27,0.769,20,26,42,16,26,25,9,4,11,15,103
GSW,2018-06-03,W,Home,CLE103-122GSW,0.573,47,82,0.417,15,36,0.619,13,21,41,7,34,28,3,8,12,25,122
CLE,2018-06-06,L,Home,GSW110-102CLE,0.435,40,92,0.290,9,31,0.765,13,17,47,15,32,20,6,4,14,18,102
GSW,2018-06-06,W,Away,CLE102-110GSW,0.519,42,81,0.346,9,26,0.895,17,19,37,6,31,27,6,5,11,20,110
GSW,2018-06-08,W,Away,CLE85-108GSW,0.453,39,86,0.368,14,38,1.000,16,16,44,10,34,25,7,13,10,24,108
CLE,2018-06-08,L,Home,GSW108-85CLE,0.345,30,87,0.296,8,27,0.680,17,25,44,17,27,21,5,5,11,22,85
