Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
GSW,2018-04-10,0,0,UTA119-79GSW,0.349,30,86,0.263,5,19,0.875,14,16,39,9,30,14,7,3,16,18,79,UTA,UTA,2018-04-10,1,1,GSW79-119UTA,0.533,48,90,0.371,13,35,0.769,10,13,54,12,42,25,10,6,15,20,119,GSW
UTA,2018-04-10,1,1,GSW79-119UTA,0.533,48,90,0.371,13,35,0.769,10,13,54,12,42,25,10,6,15,20,119,GSW,GSW,2018-04-10,0,0,UTA119-79GSW,0.349,30,86,0.263,5,19,0.875,14,16,39,9,30,14,7,3,16,18,79,UTA
DAL,2018-04-10,0,1,PHX124-97DAL,0.381,37,97,0.242,8,33,0.682,15,22,40,18,22,20,8,1,8,19,97,PHX,PHX,2018-04-10,1,0,DAL97-124PHX,0.632,48,76,0.500,13,26,0.714,15,21,46,5,41,35,5,6,15,16,124,DAL
LAL,2018-04-10,0,1,HOU105-99LAL,0.422,38,90,0.278,10,36,0.867,13,15,47,9,38,22,14,4,17,19,99,HOU,HOU,2018-04-10,1,0,LAL99-105HOU,0.420,37,88,0.340,16,47,0.938,15,16,49,8,41,19,9,5,19,19,105,LAL
WAS,2018-04-10,1,1,BOS101-113WAS,0.494,41,83,0.500,15,30,0.800,16,20,51,10,41,32,8,3,20,24,113,BOS,BOS,2018-04-10,0,0,WAS113-101BOS,0.379,33,87,0.394,13,33,0.815,22,27,44,13,31,22,14,1,17,18,101,WAS
BOS,2018-04-10,0,0,WAS113-101BOS,0.379,33,87,0.394,13,33,0.815,22,27,44,13,31,22,14,1,17,18,101,WAS,WAS,2018-04-10,1,1,BOS101-113WAS,0.494,41,83,0.500,15,30,0.800,16,20,51,10,41,32,8,3,20,24,113,BOS
PHI,2018-04-10,1,0,ATL113-121PHI,0.494,43,87,0.459,17,37,0.600,18,30,54,11,43,29,7,8,18,22,121,ATL,ATL,2018-04-10,0,1,PHI121-113ATL,0.418,41,98,0.351,13,37,0.692,18,26,39,8,31,27,10,3,10,24,113,PHI
PHX,2018-04-10,1,0,DAL97-124PHX,0.632,48,76,0.500,13,26,0.714,15,21,46,5,41,35,5,6,15,16,124,DAL,DAL,2018-04-10,0,1,PHX124-97DAL,0.381,37,97,0.242,8,33,0.682,15,22,40,18,22,20,8,1,8,19,97,PHX
CHA,2018-04-10,1,0,IND93-119CHA,0.465,46,99,0.429,18,42,0.750,9,12,55,13,42,27,5,7,7,8,119,IND,IND,2018-04-10,0,1,CHA119-93IND,0.404,40,99,0.258,8,31,0.625,5,8,53,13,40,22,3,4,8,16,93,CHA
IND,2018-04-10,0,1,CHA119-93IND,0.404,40,99,0.258,8,31,0.625,5,8,53,13,40,22,3,4,8,16,93,CHA,CHA,2018-04-10,1,0,IND93-119CHA,0.465,46,99,0.429,18,42,0.750,9,12,55,13,42,27,5,7,7,8,119,IND
HOU,2018-04-10,1,0,LAL99-105HOU,0.420,37,88,0.340,16,47,0.938,15,16,49,8,41,19,9,5,19,19,105,LAL,LAL,2018-04-10,0,1,HOU105-99LAL,0.422,38,90,0.278,10,36,0.867,13,15,47,9,38,22,14,4,17,19,99,HOU
ATL,2018-04-10,0,1,PHI121-113ATL,0.418,41,98,0.351,13,37,0.692,18,26,39,8,31,27,10,3,10,24,113,PHI,PHI,2018-04-10,1,0,ATL113-121PHI,0.494,43,87,0.459,17,37,0.600,18,30,54,11,43,29,7,8,18,22,121,ATL
BOS,2018-04-11,1,1,BKN97-110BOS,0.451,46,102,0.250,6,24,0.800,12,15,62,20,42,22,6,6,14,14,110,BKN,BKN,2018-04-11,0,0,BOS110-97BKN,0.407,37,91,0.275,11,40,0.750,12,16,44,10,34,27,10,6,16,12,97,BOS
MIA,2018-04-11,1,1,TOR109-116MIA,0.434,46,106,0.423,11,26,0.650,13,20,56,19,37,26,8,7,9,18,116,TOR,TOR,2018-04-11,0,0,MIA116-109TOR,0.457,42,92,0.300,9,30,0.762,16,21,47,9,38,24,5,10,14,24,109,MIA
CLE,2018-04-11,0,1,NYK110-98CLE,0.394,37,94,0.250,6,24,0.643,18,28,48,17,31,15,9,3,16,15,98,NYK,NYK,2018-04-11,1,0,CLE98-110NYK,0.506,43,85,0.444,12,27,0.923,12,13,39,8,31,30,10,3,15,22,110,CLE
NYK,2018-04-11,1,0,CLE98-110NYK,0.506,43,85,0.444,12,27,0.923,12,13,39,8,31,30,10,3,15,22,110,CLE,CLE,2018-04-11,0,1,NYK110-98CLE,0.394,37,94,0.250,6,24,0.643,18,28,48,17,31,15,9,3,16,15,98,NYK
