Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
HOU,HOU vs. GSW,2019-05-10,L,240,113,42,89,0.472,17,39,0.436,12,17,0.706,12,28,40,21,9,1,17,22,-5
GSW,GSW @ HOU,2019-05-10,W,240,118,42,85,0.494,16,38,0.421,18,23,0.783,10,25,35,25,9,7,17,19,5
PHI,PHI vs. TOR,2019-05-09,W,240,112,41,89,0.461,10,28,0.357,20,26,0.769,16,36,52,27,5,3,18,22,11
TOR,TOR @ PHI,2019-05-09,L,240,101,35,81,0.432,9,36,0.250,22,29,0.759,9,25,34,25,9,4,12,24,-11
POR,POR vs. DEN,2019-05-09,W,240,119,41,89,0.461,15,33,0.455,22,30,0.733,11,32,43,18,4,5,9,20,11
DEN,DEN @ POR,2019-05-09,L,240,108,33,86,0.384,12,32,0.375,30,32,0.938,16,28,44,22,7,3,7,23,-11
BOS,BOS @ MIL,2019-05-08,L,240,91,29,93,0.312,7,39,0.179,26,34,0.765,12,36,48,19,9,1,14,18,-25
MIL,MIL vs. BOS,2019-05-08,W,240,116,42,94,0.447,15,47,0.319,17,22,0.773,12,46,58,27,8,7,17,23,25
HOU,HOU @ GSW,2019-05-08,L,240,99,33,79,0.418,12,41,0.293,21,24,0.875,8,31,39,19,10,3,17,20,-5
GSW,GSW vs. HOU,2019-05-08,W,240,104,39,85,0.459,13,37,0.351,13,18,0.722,12,30,42,28,6,1,15,19,5
