Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW vs. LAC,2019-04-15,L,240,131,40,75,0.533,11,28,0.393,40,45,0.889,7,31,38,31,11,6,22,31,-4
LAC,LAC @ GSW,2019-04-15,W,240,135,48,85,0.565,14,31,0.452,25,31,0.806,8,26,34,34,14,1,20,33,4
PHI,PHI vs. BKN,2019-04-15,W,240,145,55,98,0.561,9,23,0.391,26,32,0.813,15,34,49,29,8,3,12,23,22
BKN,BKN @ PHI,2019-04-15,L,240,123,43,90,0.478,15,36,0.417,22,29,0.759,12,20,32,20,3,2,14,24,-22
DET,DET @ MIL,2019-04-14,L,240,86,35,92,0.380,8,27,0.296,8,13,0.615,7,39,46,22,7,2,13,21,-35
MIL,MIL vs. DET,2019-04-14,W,240,121,44,90,0.489,15,43,0.349,18,26,0.692,8,46,54,31,7,8,10,16,35
HOU,HOU vs. UTA,2019-04-14,W,240,122,48,95,0.505,15,41,0.366,11,12,0.917,8,34,42,25,6,6,12,20,32
UTA,UTA @ HOU,2019-04-14,L,240,90,30,77,0.390,7,27,0.259,23,27,0.852,7,34,41,17,6,2,19,20,-32
OKC,OKC @ POR,2019-04-14,L,240,99,37,93,0.398,5,33,0.152,20,23,0.870,18,31,49,18,10,4,16,26,-5
POR,POR vs. OKC,2019-04-14,W,240,104,36,86,0.419,11,25,0.440,21,27,0.778,13,35,48,14,8,9,19,17,5
BOS,BOS vs. IND,2019-04-14,W,240,84,28,77,0.364,10,28,0.357,18,22,0.818,7,48,55,18,8,2,20,20,10
IND,IND @ BOS,2019-04-14,L,240,74,28,84,0.333,6,27,0.222,12,21,0.571,9,33,42,22,8,5,13,20,-10
DEN,DEN vs. SAS,2019-04-13,L,240,96,37,88,0.420,6,28,0.214,16,24,0.667,13,33,46,25,8,3,10,18,-5
SAS,SAS @ DEN,2019-04-13,W,240,101,40,83,0.482,7,15,0.467,14,20,0.700,10,37,47,20,4,4,11,17,5
ORL,ORL @ TOR,2019-04-13,W,240,104,36,90,0.400,14,29,0.483,18,20,0.900,10,38,48,19,9,4,11,19,3
TOR,TOR vs. ORL,2019-04-13,L,240,101,40,88,0.455,12,36,0.333,9,14,0.643,6,39,45,23,4,4,13,19,-3
PHI,PHI vs. BKN,2019-04-13,L,240,102,35,86,0.407,3,25,0.120,29,42,0.690,16,34,50,20,6,11,13,24,-9
BKN,BKN @ PHI,2019-04-13,W,240,111,38,88,0.432,11,26,0.423,24,26,0.923,10,35,45,15,9,2,12,27,9
GSW,GSW vs. LAC,2019-04-13,W,240,121,45,92,0.489,14,30,0.467,17,20,0.850,12,42,54,31,9,14,21,22,17
LAC,LAC @ GSW,2019-04-13,L,240,104,38,95,0.400,11,30,0.367,17,22,0.773,7,33,40,24,10,7,18,22,-17
