Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW vs. OKC,2018-11-21,L,240,95,36,83,0.434,7,29,0.241,16,24,0.667,7,35,42,24,7,10,17,18,-28
OKC,OKC @ GSW,2018-11-21,W,240,123,51,106,0.481,13,35,0.371,8,15,0.533,18,43,61,29,10,5,10,23,28
SAC,SAC @ UTA,2018-11-21,W,240,119,47,89,0.528,11,25,0.440,14,19,0.737,8,40,48,27,5,4,11,30,9
UTA,UTA vs. SAC,2018-11-21,L,240,110,38,88,0.432,12,39,0.308,22,31,0.710,12,34,46,21,7,7,10,21,-9
BKN,BKN @ DAL,2018-11-21,L,240,113,42,94,0.447,14,42,0.333,15,21,0.714,16,26,42,23,8,2,14,31,-6
DAL,DAL vs. BKN,2018-11-21,W,240,119,38,78,0.487,11,27,0.407,32,41,0.780,8,37,45,21,10,4,13,20,6
SAS,SAS vs. MEM,2018-11-21,L,240,103,35,81,0.432,7,22,0.318,26,30,0.867,9,33,42,21,4,5,9,20,-1
MEM,MEM @ SAS,2018-11-21,W,240,104,39,81,0.481,8,25,0.320,18,21,0.857,4,36,40,21,4,6,9,25,1
POR,POR @ MIL,2018-11-21,L,240,100,34,94,0.362,9,42,0.214,23,28,0.821,10,30,40,13,8,6,17,20,-43
MIL,MIL vs. POR,2018-11-21,W,240,143,57,108,0.528,15,45,0.333,14,17,0.824,13,46,59,34,8,3,14,23,43
LAL,LAL @ CLE,2018-11-21,W,240,109,40,78,0.513,9,25,0.360,20,28,0.714,7,44,51,23,2,9,15,20,4
CLE,CLE vs. LAL,2018-11-21,L,240,105,39,102,0.382,13,34,0.382,14,15,0.933,15,31,46,18,3,2,3,22,-4
HOU,HOU vs. DET,2018-11-21,W,240,126,40,72,0.556,13,33,0.394,33,36,0.917,5,31,36,18,8,7,15,25,2
DET,DET @ HOU,2018-11-21,L,240,124,40,85,0.471,16,34,0.471,28,37,0.757,15,22,37,20,8,1,16,26,-2
PHX,PHX @ CHI,2018-11-21,L,240,116,48,98,0.490,10,34,0.294,10,10,1.000,6,30,36,28,9,5,13,20,-8
CHI,CHI vs. PHX,2018-11-21,W,240,124,46,81,0.568,11,25,0.440,21,24,0.875,4,35,39,28,8,2,17,19,8
DEN,DEN @ MIN,2018-11-21,W,240,103,42,89,0.472,14,35,0.400,5,6,0.833,9,31,40,29,12,4,14,22,2
MIN,MIN vs. DEN,2018-11-21,L,240,101,35,79,0.443,9,32,0.281,22,26,0.846,8,32,40,24,8,3,18,15,-2
TOR,TOR @ ATL,2018-11-21,W,240,124,48,90,0.533,11,29,0.379,17,23,0.739,14,41,55,33,6,1,19,21,16
ATL,ATL vs. TOR,2018-11-21,L,240,108,42,93,0.452,10,36,0.278,14,18,0.778,9,25,34,24,10,7,9,21,-16
NYK,NYK @ BOS,2018-11-21,W,240,117,44,89,0.494,15,30,0.500,14,17,0.824,9,40,49,25,3,11,17,24,8
BOS,BOS vs. NYK,2018-11-21,L,240,109,38,97,0.392,10,33,0.303,23,32,0.719,15,35,50,30,10,9,8,16,-8
NOP,NOP @ PHI,2018-11-21,L,240,120,42,98,0.429,11,30,0.367,25,33,0.758,20,34,54,24,8,8,15,21,-1
PHI,PHI vs. NOP,2018-11-21,W,240,121,44,98,0.449,10,29,0.345,23,26,0.885,11,36,47,27,7,7,16,26,1
CHA,CHA vs. IND,2018-11-21,W,240,127,45,80,0.563,18,29,0.621,19,22,0.864,6,30,36,30,7,3,12,15,18
IND,IND @ CHA,2018-11-21,L,240,109,41,84,0.488,11,33,0.333,16,17,0.941,10,27,37,26,5,7,14,19,-18
WAS,WAS vs. LAC,2018-11-20,W,240,125,40,93,0.430,13,39,0.333,32,39,0.821,11,33,44,27,11,8,7,20,7
LAC,LAC @ WAS,2018-11-20,L,240,118,46,89,0.517,11,27,0.407,15,18,0.833,7,37,44,20,6,4,19,28,-7
ORL,ORL vs. TOR,2018-11-20,L,240,91,34,84,0.405,8,30,0.267,15,19,0.789,11,38,49,24,5,4,14,11,-2
TOR,TOR @ ORL,2018-11-20,W,240,93,39,87,0.448,9,34,0.265,6,8,0.750,6,37,43,23,7,5,16,19,2
BKN,BKN @ MIA,2018-11-20,W,240,104,38,88,0.432,8,31,0.258,20,26,0.769,13,40,53,17,6,4,12,21,12
MIA,MIA vs. BKN,2018-11-20,L,240,92,36,100,0.360,7,32,0.219,13,20,0.650,18,34,52,18,5,6,14,24,-12
NYK,NYK vs. POR,2018-11-20,L,240,114,42,83,0.506,13,29,0.448,17,22,0.773,10,32,42,22,8,5,15,15,-4
