Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,BKN vs. PHI,2019-04-18,L,240,115,39,96,0.406,8,39,0.205,29,35,0.829,13,30,43,12,6,2,16,24,-16
PHI,PHI @ BKN,2019-04-18,W,240,131,45,94,0.479,11,27,0.407,30,35,0.857,15,39,54,26,9,5,16,29,16
GSW,GSW @ LAC,2019-04-18,W,240,132,51,93,0.548,15,35,0.429,15,18,0.833,10,40,50,35,4,11,12,28,27
LAC,LAC vs. GSW,2019-04-18,L,240,105,35,94,0.372,7,32,0.219,28,34,0.824,16,27,43,21,6,2,13,25,-27
DEN,DEN @ SAS,2019-04-18,L,240,108,42,81,0.519,15,29,0.517,9,17,0.529,10,27,37,31,3,1,13,21,-10
SAS,SAS vs. DEN,2019-04-18,W,240,118,44,89,0.494,7,18,0.389,23,32,0.719,15,30,45,24,9,2,6,20,10
UTA,UTA @ HOU,2019-04-17,L,240,98,39,98,0.398,8,38,0.211,12,18,0.667,15,33,48,27,16,3,12,26,-20
HOU,HOU vs. UTA,2019-04-17,W,240,118,38,80,0.475,17,42,0.405,25,30,0.833,8,38,46,17,8,9,18,18,20
MIL,MIL vs. DET,2019-04-17,W,240,120,47,90,0.522,11,26,0.423,15,21,0.714,8,46,54,32,5,11,13,21,21
DET,DET @ MIL,2019-04-17,L,240,99,37,99,0.374,12,36,0.333,13,17,0.765,11,32,43,23,5,7,9,21,-21
IND,IND @ BOS,2019-04-17,L,240,91,36,81,0.444,13,34,0.382,6,10,0.600,4,32,36,23,11,3,12,16,-8
BOS,BOS vs. IND,2019-04-17,W,240,99,40,84,0.476,11,28,0.393,8,9,0.889,7,41,48,22,3,5,14,16,8
OKC,OKC @ POR,2019-04-16,L,240,94,35,86,0.407,5,28,0.179,19,28,0.679,13,34,47,21,6,6,16,27,-20
POR,POR vs. OKC,2019-04-16,W,240,114,42,90,0.467,13,32,0.406,17,21,0.810,7,37,44,17,9,6,12,27,20
SAS,SAS @ DEN,2019-04-16,L,240,105,39,86,0.453,5,18,0.278,22,25,0.880,11,39,50,20,3,3,10,20,-9
DEN,DEN vs. SAS,2019-04-16,W,240,114,43,89,0.483,10,24,0.417,18,26,0.692,7,34,41,29,5,2,6,21,9
TOR,TOR vs. ORL,2019-04-16,W,240,111,42,87,0.483,11,35,0.314,16,17,0.941,6,36,42,25,10,5,7,23,29
ORL,ORL @ TOR,2019-04-16,L,240,82,30,81,0.370,9,34,0.265,13,24,0.542,12,33,45,17,2,4,17,18,-29
GSW,GSW vs. LAC,2019-04-15,L,240,131,40,75,0.533,11,28,0.393,40,45,0.889,7,31,38,31,11,6,22,31,-4
LAC,LAC @ GSW,2019-04-15,W,240,135,48,85,0.565,14,31,0.452,25,31,0.806,8,26,34,34,14,1,20,33,4
PHI,PHI vs. BKN,2019-04-15,W,240,145,55,98,0.561,9,23,0.391,26,32,0.813,15,34,49,29,8,3,12,23,22
BKN,BKN @ PHI,2019-04-15,L,240,123,43,90,0.478,15,36,0.417,22,29,0.759,12,20,32,20,3,2,14,24,-22
POR,POR vs. OKC,2019-04-14,W,240,104,36,86,0.419,11,25,0.440,21,27,0.778,13,35,48,14,8,9,19,17,5
OKC,OKC @ POR,2019-04-14,L,240,99,37,93,0.398,5,33,0.152,20,23,0.870,18,31,49,18,10,4,16,26,-5
UTA,UTA @ HOU,2019-04-14,L,240,90,30,77,0.390,7,27,0.259,23,27,0.852,7,34,41,17,6,2,19,20,-32
HOU,HOU vs. UTA,2019-04-14,W,240,122,48,95,0.505,15,41,0.366,11,12,0.917,8,34,42,25,6,6,12,20,32
IND,IND @ BOS,2019-04-14,L,240,74,28,84,0.333,6,27,0.222,12,21,0.571,9,33,42,22,8,5,13,20,-10
BOS,BOS vs. IND,2019-04-14,W,240,84,28,77,0.364,10,28,0.357,18,22,0.818,7,48,55,18,8,2,20,20,10
DET,DET @ MIL,2019-04-14,L,240,86,35,92,0.380,8,27,0.296,8,13,0.615,7,39,46,22,7,2,13,21,-35
MIL,MIL vs. DET,2019-04-14,W,240,121,44,90,0.489,15,43,0.349,18,26,0.692,8,46,54,31,7,8,10,16,35
ORL,ORL @ TOR,2019-04-13,W,240,104,36,90,0.400,14,29,0.483,18,20,0.900,10,38,48,19,9,4,11,19,3
TOR,TOR vs. ORL,2019-04-13,L,240,101,40,88,0.455,12,36,0.333,9,14,0.643,6,39,45,23,4,4,13,19,-3
SAS,SAS @ DEN,2019-04-13,W,240,101,40,83,0.482,7,15,0.467,14,20,0.700,10,37,47,20,4,4,11,17,5
DEN,DEN vs. SAS,2019-04-13,L,240,96,37,88,0.420,6,28,0.214,16,24,0.667,13,33,46,25,8,3,10,18,-5
PHI,PHI vs. BKN,2019-04-13,L,240,102,35,86,0.407,3,25,0.120,29,42,0.690,16,34,50,20,6,11,13,24,-9
BKN,BKN @ PHI,2019-04-13,W,240,111,38,88,0.432,11,26,0.423,24,26,0.923,10,35,45,15,9,2,12,27,9
LAC,LAC @ GSW,2019-04-13,L,240,104,38,95,0.400,11,30,0.367,17,22,0.773,7,33,40,24,10,7,18,22,-17
GSW,GSW vs. LAC,2019-04-13,W,240,121,45,92,0.489,14,30,0.467,17,20,0.850,12,42,54,31,9,14,21,22,17
