Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ NOP,2018-04-11,L,240,98,37,92,0.402,8,24,0.333,16,19,0.842,12,26,38,22,9,1,17,17,-24
NOP,NOP vs. SAS,2018-04-11,W,240,122,52,88,0.591,5,19,0.263,13,19,0.684,11,40,51,30,11,5,19,20,24
OKC,OKC vs. MEM,2018-04-11,W,240,137,47,85,0.553,20,43,0.465,23,32,0.719,8,37,45,32,8,3,14,23,14
MEM,MEM @ OKC,2018-04-11,L,240,123,44,91,0.484,13,31,0.419,22,24,0.917,9,32,41,22,9,2,13,22,-14
SAC,SAC vs. HOU,2018-04-11,W,240,96,38,80,0.475,7,26,0.269,13,20,0.650,6,42,48,22,6,3,11,14,13
HOU,HOU @ SAC,2018-04-11,L,240,83,31,82,0.378,13,46,0.283,8,12,0.667,8,32,40,11,2,6,14,24,-13
MIN,MIN vs. DEN,2018-04-11,W,265,112,42,89,0.472,9,23,0.391,19,25,0.760,8,32,40,24,10,2,8,19,6
DEN,DEN @ MIN,2018-04-11,L,265,106,41,90,0.456,13,32,0.406,11,18,0.611,10,37,47,19,4,4,15,22,-6
LAC,LAC vs. LAL,2018-04-11,L,240,100,41,83,0.494,6,18,0.333,12,28,0.429,8,33,41,27,8,1,17,17,-15
LAL,LAL @ LAC,2018-04-11,W,240,115,42,88,0.477,17,39,0.436,14,16,0.875,10,39,49,25,8,6,17,23,15
POR,POR vs. UTA,2018-04-11,W,240,102,41,89,0.461,9,24,0.375,11,16,0.688,7,39,46,19,9,9,10,22,9
UTA,UTA @ POR,2018-04-11,L,240,93,33,89,0.371,8,23,0.348,19,24,0.792,14,39,53,18,5,7,15,19,-9
WAS,WAS @ ORL,2018-04-11,L,240,92,33,95,0.347,10,34,0.294,16,27,0.593,18,32,50,17,5,1,12,25,-9
ORL,ORL vs. WAS,2018-04-11,W,240,101,33,77,0.429,13,32,0.406,22,27,0.815,6,36,42,20,6,7,16,27,9
TOR,TOR @ MIA,2018-04-11,L,265,109,42,92,0.457,9,30,0.300,16,21,0.762,9,38,47,24,5,10,14,24,-7
MIA,MIA vs. TOR,2018-04-11,W,265,116,46,106,0.434,11,26,0.423,13,20,0.650,19,37,56,26,8,7,9,18,7
CLE,CLE vs. NYK,2018-04-11,L,240,98,37,94,0.394,6,24,0.250,18,28,0.643,17,31,48,15,9,3,16,15,-12
NYK,NYK @ CLE,2018-04-11,W,240,110,43,85,0.506,12,27,0.444,12,13,0.923,8,31,39,30,10,3,15,22,12
BOS,BOS vs. BKN,2018-04-11,W,240,110,46,102,0.451,6,24,0.250,12,15,0.800,20,42,62,22,6,6,14,14,13
BKN,BKN @ BOS,2018-04-11,L,240,97,37,91,0.407,11,40,0.275,12,16,0.750,10,34,44,27,10,6,16,12,-13
DET,DET @ CHI,2018-04-11,W,240,119,47,89,0.528,15,35,0.429,10,10,1.000,7,40,47,27,12,4,12,21,32
CHI,CHI vs. DET,2018-04-11,L,240,87,32,86,0.372,11,34,0.324,12,18,0.667,12,28,40,21,8,1,19,15,-32
PHI,PHI vs. MIL,2018-04-11,W,240,130,52,105,0.495,15,36,0.417,11,15,0.733,17,40,57,35,15,7,12,17,35
MIL,MIL @ PHI,2018-04-11,L,240,95,37,90,0.411,7,25,0.280,14,16,0.875,10,33,43,22,6,5,20,17,-35
BOS,BOS @ WAS,2018-04-10,L,240,101,33,87,0.379,13,33,0.394,22,27,0.815,13,31,44,22,14,1,17,18,-12
WAS,WAS vs. BOS,2018-04-10,W,240,113,41,83,0.494,15,30,0.500,16,20,0.800,10,41,51,32,8,3,20,24,12
PHX,PHX @ DAL,2018-04-10,W,240,124,48,76,0.632,13,26,0.500,15,21,0.714,5,41,46,35,5,6,15,16,27
DAL,DAL vs. PHX,2018-04-10,L,240,97,37,97,0.381,8,33,0.242,15,22,0.682,18,22,40,20,8,1,8,19,-27
UTA,UTA vs. GSW,2018-04-10,W,240,119,48,90,0.533,13,35,0.371,10,13,0.769,12,42,54,25,10,6,15,20,40
GSW,GSW @ UTA,2018-04-10,L,240,79,30,86,0.349,5,19,0.263,14,16,0.875,9,30,39,14,7,3,16,18,-40
ATL,ATL vs. PHI,2018-04-10,L,240,113,41,98,0.418,13,37,0.351,18,26,0.692,8,31,39,27,10,3,10,24,-8
PHI,PHI @ ATL,2018-04-10,W,240,121,43,87,0.494,17,37,0.459,18,30,0.600,11,43,54,29,7,8,18,22,8
IND,IND vs. CHA,2018-04-10,L,240,93,40,99,0.404,8,31,0.258,5,8,0.625,13,40,53,22,3,4,8,16,-26
CHA,CHA @ IND,2018-04-10,W,240,119,46,99,0.465,18,42,0.429,9,12,0.750,13,42,55,27,5,7,7,8,26
HOU,HOU @ LAL,2018-04-10,W,240,105,37,88,0.420,16,47,0.340,15,16,0.938,8,41,49,19,9,5,19,19,6
