Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
WAS,WAS vs. ATL,2016-04-13,W,240,109,42,88,0.477,9,28,0.321,16,30,0.533,11,40,51,25,14,4,19,22,11
ATL,ATL @ WAS,2016-04-13,L,240,98,32,81,0.395,11,30,0.367,23,31,0.742,9,38,47,22,13,5,23,21,-11
CHA,CHA vs. ORL,2016-04-13,W,240,117,47,86,0.547,11,29,0.379,12,19,0.632,5,41,46,32,6,5,10,14,14
ORL,ORL @ CHA,2016-04-13,L,240,103,42,91,0.462,8,27,0.296,11,18,0.611,5,34,39,22,7,4,10,18,-14
NOP,NOP @ MIN,2016-04-13,L,240,109,40,92,0.435,11,30,0.367,18,22,0.818,10,23,33,31,7,0,16,16,-35
MIN,MIN vs. NOP,2016-04-13,W,240,144,56,86,0.651,13,28,0.464,19,23,0.826,5,38,43,41,14,8,13,20,35
IND,IND @ MIL,2016-04-13,W,240,97,39,90,0.433,11,24,0.458,8,10,0.800,12,36,48,28,8,3,17,14,5
MIL,MIL vs. IND,2016-04-13,L,240,92,37,87,0.425,7,23,0.304,11,13,0.846,7,36,43,23,8,3,15,15,-5
SAS,SAS @ DAL,2016-04-13,W,240,96,35,74,0.473,6,23,0.261,20,26,0.769,8,34,42,24,8,3,15,19,5
DAL,DAL vs. SAS,2016-04-13,L,240,91,31,77,0.403,12,39,0.308,17,21,0.810,11,30,41,20,8,2,12,23,-5
POR,POR vs. DEN,2016-04-13,W,240,107,39,89,0.438,11,36,0.306,18,22,0.818,13,32,45,19,11,8,17,19,8
DEN,DEN @ POR,2016-04-13,L,240,99,40,94,0.426,7,25,0.280,12,18,0.667,20,33,53,24,10,6,20,19,-8
HOU,HOU vs. SAC,2016-04-13,W,240,116,47,97,0.485,10,35,0.286,12,19,0.632,14,41,55,33,11,7,14,15,35
SAC,SAC @ HOU,2016-04-13,L,240,81,32,96,0.333,11,37,0.297,6,13,0.462,15,34,49,21,11,4,20,17,-35
TOR,TOR @ BKN,2016-04-13,W,240,103,41,93,0.441,13,37,0.351,8,15,0.533,16,41,57,24,5,10,9,12,7
BKN,BKN vs. TOR,2016-04-13,L,240,96,39,89,0.438,10,26,0.385,8,12,0.667,5,34,39,26,8,8,8,17,-7
LAC,LAC @ PHX,2016-04-13,L,240,105,43,96,0.448,9,31,0.290,10,12,0.833,6,34,40,23,9,6,15,20,-9
PHX,PHX vs. LAC,2016-04-13,W,240,114,45,99,0.455,7,26,0.269,17,22,0.773,18,40,58,26,10,5,17,15,9
DET,DET @ CLE,2016-04-13,W,265,112,37,85,0.435,16,33,0.485,22,28,0.786,9,38,47,24,5,11,12,15,2
CLE,CLE vs. DET,2016-04-13,L,265,110,46,97,0.474,7,18,0.389,11,15,0.733,8,35,43,21,4,7,10,23,-2
BOS,BOS vs. MIA,2016-04-13,W,240,98,37,86,0.430,5,14,0.357,19,22,0.864,10,29,39,20,7,3,7,20,10
MIA,MIA @ BOS,2016-04-13,L,240,88,38,88,0.432,2,19,0.105,10,12,0.833,14,30,44,14,5,10,10,21,-10
