Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW vs. NOP,2018-10-31,W,240,131,47,89,0.528,16,32,0.500,21,30,0.700,12,34,46,39,10,4,17,24,10
NOP,NOP @ GSW,2018-10-31,L,240,121,44,92,0.478,12,35,0.343,21,27,0.778,12,30,42,24,8,2,16,26,-10
LAL,LAL vs. DAL,2018-10-31,W,240,114,43,84,0.512,10,17,0.588,18,24,0.750,8,31,39,23,12,6,20,27,1
DAL,DAL @ LAL,2018-10-31,L,240,113,43,86,0.500,13,29,0.448,14,19,0.737,10,30,40,24,5,5,23,24,-1
SAS,SAS @ PHX,2018-10-31,W,240,120,46,83,0.554,4,18,0.222,24,26,0.923,6,41,47,24,7,6,14,15,30
PHX,PHX vs. SAS,2018-10-31,L,240,90,35,90,0.389,6,24,0.250,14,18,0.778,7,28,35,21,10,3,15,26,-30
IND,IND @ NYK,2018-10-31,W,240,107,45,83,0.542,6,20,0.300,11,17,0.647,10,31,41,24,10,10,15,19,6
NYK,NYK vs. IND,2018-10-31,L,240,101,34,79,0.430,12,25,0.480,21,24,0.875,9,26,35,18,6,6,17,19,-6
DEN,DEN @ CHI,2018-10-31,W,265,108,45,99,0.455,7,26,0.269,11,18,0.611,17,39,56,24,7,10,16,16,1
CHI,CHI vs. DEN,2018-10-31,L,265,107,39,92,0.424,16,34,0.471,13,18,0.722,10,33,43,27,7,6,14,23,-1
UTA,UTA @ MIN,2018-10-31,L,240,125,47,96,0.490,13,30,0.433,18,30,0.600,19,28,47,25,9,5,14,22,-3
MIN,MIN vs. UTA,2018-10-31,W,240,128,50,86,0.581,12,25,0.480,16,24,0.667,7,34,41,19,10,8,16,28,3
BKN,BKN vs. DET,2018-10-31,W,265,120,43,101,0.426,12,38,0.316,22,30,0.733,18,37,55,26,5,3,16,33,1
DET,DET @ BKN,2018-10-31,L,265,119,39,93,0.419,11,34,0.324,30,39,0.769,14,41,55,16,8,6,17,30,-1
LAC,LAC @ OKC,2018-10-30,L,240,110,35,74,0.473,7,20,0.350,33,43,0.767,6,32,38,18,6,7,25,26,-18
OKC,OKC vs. LAC,2018-10-30,W,240,128,48,94,0.511,9,17,0.529,23,32,0.719,9,32,41,19,16,6,17,35,18
WAS,WAS @ MEM,2018-10-30,L,240,95,32,74,0.432,14,35,0.400,17,20,0.850,5,32,37,24,9,7,20,22,-12
MEM,MEM vs. WAS,2018-10-30,W,240,107,36,74,0.486,13,28,0.464,22,31,0.710,6,32,38,28,16,3,17,20,12
HOU,HOU vs. POR,2018-10-30,L,240,85,31,96,0.323,10,43,0.233,13,23,0.565,20,29,49,18,7,9,12,25,-19
POR,POR @ HOU,2018-10-30,W,240,104,38,80,0.475,8,20,0.400,20,23,0.870,7,44,51,17,4,4,20,19,19
DET,DET @ BOS,2018-10-30,L,240,105,37,88,0.420,8,30,0.267,23,27,0.852,11,39,50,17,6,3,17,28,-3
BOS,BOS vs. DET,2018-10-30,W,240,108,37,84,0.440,9,31,0.290,25,32,0.781,8,38,46,25,8,4,14,20,3
