Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW vs. SAC,2018-11-24,W,240,117,41,88,0.466,10,34,0.294,25,29,0.862,12,42,54,28,5,6,15,24,1
SAC,SAC @ GSW,2018-11-24,L,240,116,42,97,0.433,11,28,0.393,21,29,0.724,13,34,47,28,6,4,8,22,-1
MIL,MIL vs. SAS,2018-11-24,W,240,135,49,86,0.570,15,40,0.375,22,29,0.759,6,35,41,30,7,3,13,22,6
SAS,SAS @ MIL,2018-11-24,L,240,129,49,92,0.533,10,21,0.476,21,28,0.750,9,30,39,27,8,3,10,21,-6
DAL,DAL vs. BOS,2018-11-24,W,240,113,42,87,0.483,16,41,0.390,13,21,0.619,13,30,43,27,12,3,16,16,9
BOS,BOS @ DAL,2018-11-24,L,240,104,41,86,0.477,10,28,0.357,12,13,0.923,9,33,42,19,8,3,18,21,-9
OKC,OKC vs. DEN,2018-11-24,L,240,98,37,103,0.359,9,39,0.231,15,23,0.652,19,35,54,22,9,5,10,24,-7
DEN,DEN @ OKC,2018-11-24,W,240,105,39,95,0.411,10,30,0.333,17,24,0.708,15,39,54,26,6,9,18,20,7
WAS,WAS vs. NOP,2018-11-24,W,240,124,51,90,0.567,10,29,0.345,12,23,0.522,5,40,45,30,12,9,15,16,10
NOP,NOP @ WAS,2018-11-24,L,240,114,43,90,0.478,11,31,0.355,17,21,0.810,7,36,43,23,10,3,16,21,-10
CHI,CHI @ MIN,2018-11-24,L,240,96,32,80,0.400,10,33,0.303,22,31,0.710,6,34,40,22,7,4,16,19,-15
MIN,MIN vs. CHI,2018-11-24,W,240,111,42,103,0.408,7,34,0.206,20,23,0.870,21,37,58,22,8,5,14,23,15
HOU,HOU @ CLE,2018-11-24,L,240,108,37,74,0.500,15,39,0.385,19,28,0.679,7,23,30,18,5,4,16,19,-9
CLE,CLE vs. HOU,2018-11-24,W,240,117,44,90,0.489,7,22,0.318,22,29,0.759,20,29,49,15,11,2,14,24,9
NOP,NOP @ NYK,2018-11-23,L,240,109,40,101,0.396,7,28,0.250,22,29,0.759,20,35,55,26,5,5,13,22,-5
NYK,NYK vs. NOP,2018-11-23,W,240,114,41,92,0.446,12,33,0.364,20,27,0.741,13,35,48,22,9,10,9,26,5
GSW,GSW vs. POR,2018-11-23,W,240,125,48,85,0.565,17,32,0.531,12,16,0.750,6,36,42,29,11,11,14,22,28
POR,POR @ GSW,2018-11-23,L,240,97,38,93,0.409,9,24,0.375,12,22,0.545,13,27,40,22,8,2,13,16,-28
LAL,LAL vs. UTA,2018-11-23,W,240,90,36,79,0.456,7,23,0.304,11,18,0.611,5,42,47,10,11,5,24,20,7
UTA,UTA @ LAL,2018-11-23,L,240,83,33,85,0.388,4,23,0.174,13,17,0.765,7,34,41,22,12,3,19,21,-7
ORL,ORL @ DEN,2018-11-23,L,240,87,32,79,0.405,8,32,0.250,15,19,0.789,4,33,37,24,7,2,15,19,-25
DEN,DEN vs. ORL,2018-11-23,W,240,112,44,93,0.473,9,28,0.321,15,17,0.882,12,39,51,33,10,5,11,20,25
PHX,PHX @ MIL,2018-11-23,W,240,116,45,90,0.500,9,26,0.346,17,22,0.773,6,34,40,21,8,4,11,25,2
MIL,MIL vs. PHX,2018-11-23,L,240,114,42,87,0.483,10,44,0.227,20,30,0.667,7,36,43,30,6,7,14,17,-2
OKC,OKC vs. CHA,2018-11-23,W,240,109,41,93,0.441,11,33,0.333,16,24,0.667,11,35,46,24,6,2,14,18,5
CHA,CHA @ OKC,2018-11-23,L,240,104,43,94,0.457,6,31,0.194,12,14,0.857,11,35,46,24,8,5,14,21,-5
MIA,MIA @ CHI,2018-11-23,W,240,103,37,87,0.425,10,34,0.294,19,31,0.613,10,38,48,20,10,11,14,21,7
CHI,CHI vs. MIA,2018-11-23,L,240,96,35,94,0.372,7,28,0.250,19,20,0.950,12,40,52,23,8,6,18,23,-7
IND,IND vs. SAS,2018-11-23,L,240,100,46,99,0.465,3,24,0.125,5,9,0.556,11,34,45,31,9,2,12,22,-11
SAS,SAS @ IND,2018-11-23,W,240,111,42,83,0.506,10,21,0.476,17,24,0.708,9,37,46,28,3,4,15,19,11
BOS,BOS @ ATL,2018-11-23,W,240,114,42,91,0.462,13,40,0.325,17,21,0.810,7,36,43,31,11,7,16,29,18
ATL,ATL vs. BOS,2018-11-23,L,240,96,35,81,0.432,6,35,0.171,20,29,0.690,5,35,40,22,9,7,21,26,-18
CLE,CLE @ PHI,2018-11-23,W,240,121,49,93,0.527,11,22,0.500,12,16,0.750,14,28,42,16,7,1,9,25,9
PHI,PHI vs. CLE,2018-11-23,L,240,112,40,75,0.533,12,33,0.364,20,26,0.769,4,27,31,27,5,3,10,20,-9
TOR,TOR vs. WAS,2018-11-23,W,240,125,46,93,0.495,17,39,0.436,16,19,0.842,13,37,50,32,5,6,15,23,18
WAS,WAS @ TOR,2018-11-23,L,240,107,40,101,0.396,9,46,0.196,18,19,0.947,15,30,45,28,8,7,13,16,-18
HOU,HOU @ DET,2018-11-23,L,265,111,41,98,0.418,10,36,0.278,19,21,0.905,17,27,44,22,6,7,14,26,-5
DET,DET vs. HOU,2018-11-23,W,265,116,40,88,0.455,7,27,0.259,29,40,0.725,14,35,49,18,11,5,14,18,5
MEM,MEM @ LAC,2018-11-23,L,265,107,42,92,0.457,9,27,0.333,14,18,0.778,6,42,48,29,5,7,17,29,-5
LAC,LAC vs. MEM,2018-11-23,W,265,112,40,94,0.426,8,23,0.348,24,27,0.889,7,40,47,26,6,5,10,23,5
BKN,BKN vs. MIN,2018-11-23,L,240,102,33,79,0.418,14,45,0.311,22,26,0.846,9,37,46,26,2,4,19,22,-10
