Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW vs. MIL,2018-11-08,L,240,111,42,87,0.483,10,28,0.357,17,22,0.773,8,30,38,31,5,6,18,22,-23
MIL,MIL @ GSW,2018-11-08,W,240,134,52,101,0.515,9,35,0.257,21,27,0.778,13,33,46,33,11,7,12,23,23
LAC,LAC @ POR,2018-11-08,L,240,105,41,89,0.461,8,23,0.348,15,20,0.750,7,34,41,19,2,10,7,22,-11
POR,POR vs. LAC,2018-11-08,W,240,116,40,97,0.412,10,26,0.385,26,28,0.929,14,39,53,18,4,8,7,20,11
BOS,BOS @ PHX,2018-11-08,W,265,116,39,97,0.402,14,37,0.378,24,31,0.774,17,39,56,21,6,6,16,18,7
PHX,PHX vs. BOS,2018-11-08,L,265,109,41,93,0.441,11,35,0.314,16,19,0.842,4,38,42,25,10,6,15,23,-7
OKC,OKC vs. HOU,2018-11-08,W,240,98,36,81,0.444,9,37,0.243,17,24,0.708,13,39,52,18,11,4,16,16,18
HOU,HOU @ OKC,2018-11-08,L,240,80,31,82,0.378,11,42,0.262,7,10,0.700,12,27,39,16,10,3,18,26,-18
ATL,ATL vs. NYK,2018-11-07,L,240,107,37,92,0.402,11,38,0.289,22,29,0.759,15,30,45,26,5,9,17,30,-5
NYK,NYK @ ATL,2018-11-07,W,240,112,34,77,0.442,11,30,0.367,33,47,0.702,11,37,48,15,8,7,18,30,5
SAC,SAC vs. TOR,2018-11-07,L,240,105,42,88,0.477,8,23,0.348,13,18,0.722,6,25,31,27,10,5,15,26,-9
TOR,TOR @ SAC,2018-11-07,W,240,114,41,89,0.461,11,36,0.306,21,23,0.913,13,40,53,17,10,4,22,20,9
MIN,MIN @ LAL,2018-11-07,L,240,110,41,91,0.451,20,40,0.500,8,9,0.889,11,29,40,22,10,5,16,17,-4
LAL,LAL vs. MIN,2018-11-07,W,240,114,44,91,0.484,15,34,0.441,11,14,0.786,12,35,47,32,6,4,16,14,4
DAL,DAL @ UTA,2018-11-07,L,240,102,29,73,0.397,8,24,0.333,36,40,0.900,12,37,49,14,3,4,25,27,-15
UTA,UTA vs. DAL,2018-11-07,W,240,117,43,89,0.483,13,37,0.351,18,26,0.692,8,27,35,31,12,10,12,32,15
IND,IND vs. PHI,2018-11-07,L,240,94,37,94,0.394,8,31,0.258,12,17,0.706,8,33,41,19,9,6,12,21,-6
PHI,PHI @ IND,2018-11-07,W,240,100,36,79,0.456,10,32,0.313,18,22,0.818,5,38,43,24,7,8,17,18,6
MEM,MEM vs. DEN,2018-11-07,W,240,89,30,70,0.429,8,21,0.381,21,25,0.840,8,28,36,19,7,7,18,22,2
DEN,DEN @ MEM,2018-11-07,L,240,87,32,82,0.390,8,32,0.250,15,19,0.789,13,28,41,19,9,3,19,22,-2
CHI,CHI @ NOP,2018-11-07,L,240,98,38,96,0.396,9,31,0.290,13,17,0.765,7,39,46,18,9,7,12,16,-9
NOP,NOP vs. CHI,2018-11-07,W,240,107,42,94,0.447,11,30,0.367,12,17,0.706,11,44,55,32,5,10,15,18,9
SAS,SAS @ MIA,2018-11-07,L,240,88,31,94,0.330,13,32,0.406,13,14,0.929,12,37,49,19,8,5,12,19,-7
MIA,MIA vs. SAS,2018-11-07,W,240,95,36,93,0.387,10,32,0.313,13,18,0.722,14,46,60,21,8,11,13,17,7
ORL,ORL vs. DET,2018-11-07,L,240,96,40,87,0.460,9,27,0.333,7,9,0.778,6,34,40,28,10,8,21,19,-7
DET,DET @ ORL,2018-11-07,W,240,103,37,90,0.411,11,37,0.297,18,20,0.900,13,37,50,21,13,1,20,15,7
CLE,CLE vs. OKC,2018-11-07,L,240,86,33,89,0.371,9,31,0.290,11,13,0.846,12,39,51,17,3,4,20,26,-9
OKC,OKC @ CLE,2018-11-07,W,240,95,35,84,0.417,7,27,0.259,18,26,0.692,7,37,44,10,13,9,12,23,9
WAS,WAS @ DAL,2018-11-06,L,240,100,37,87,0.425,11,35,0.314,15,20,0.750,5,27,32,27,8,6,10,24,-19
DAL,DAL vs. WAS,2018-11-06,W,240,119,39,82,0.476,15,34,0.441,26,27,0.963,10,40,50,25,4,6,18,22,19
MIL,MIL @ POR,2018-11-06,L,240,103,40,92,0.435,16,42,0.381,7,8,0.875,12,30,42,26,2,1,12,16,-15
POR,POR vs. MIL,2018-11-06,W,240,118,48,91,0.527,17,43,0.395,5,8,0.625,11,40,51,23,7,3,12,17,15
PHX,PHX vs. BKN,2018-11-06,L,240,82,28,81,0.346,9,25,0.360,17,20,0.850,9,40,49,16,4,3,20,20,-22
BKN,BKN @ PHX,2018-11-06,W,240,104,41,92,0.446,9,36,0.250,13,19,0.684,13,39,52,22,9,5,10,22,22
ATL,ATL @ CHA,2018-11-06,L,240,102,41,85,0.482,6,30,0.200,14,18,0.778,7,30,37,22,13,9,22,18,-11
CHA,CHA vs. ATL,2018-11-06,W,240,113,45,92,0.489,13,31,0.419,10,18,0.556,8,35,43,27,9,4,21,16,11
DET,DET vs. MIA,2018-11-05,L,265,115,43,105,0.410,11,35,0.314,18,28,0.643,21,39,60,27,8,3,19,30,-5
MIA,MIA @ DET,2018-11-05,W,265,120,44,98,0.449,12,31,0.387,20,31,0.645,9,41,50,24,10,8,17,26,5
MEM,MEM @ GSW,2018-11-05,L,240,101,38,83,0.458,9,27,0.333,16,21,0.762,4,26,30,31,8,8,10,19,-16
GSW,GSW vs. MEM,2018-11-05,W,240,117,41,81,0.506,13,24,0.542,22,23,0.957,8,38,46,29,4,4,13,25,16
MIN,MIN @ LAC,2018-11-05,L,240,109,40,85,0.471,5,21,0.238,24,30,0.800,8,30,38,20,9,8,11,23,-11
LAC,LAC vs. MIN,2018-11-05,W,240,120,43,88,0.489,14,31,0.452,20,22,0.909,13,30,43,30,5,4,12,27,11
TOR,TOR @ UTA,2018-11-05,W,240,124,49,86,0.570,13,33,0.394,13,14,0.929,7,36,43,21,9,3,15,28,13
UTA,UTA vs. TOR,2018-11-05,L,240,111,38,86,0.442,8,31,0.258,27,41,0.659,12,28,40,29,10,4,12,19,-13
BOS,BOS @ DEN,2018-11-05,L,240,107,44,87,0.506,9,31,0.290,10,12,0.833,7,33,40,22,9,9,12,21,-8
DEN,DEN vs. BOS,2018-11-05,W,240,115,41,90,0.456,13,34,0.382,20,28,0.714,15,32,47,25,5,4,13,14,8
CHI,CHI @ NYK,2018-11-05,W,290,116,43,95,0.453,8,30,0.267,22,30,0.733,11,37,48,15,9,9,19,22,1
NYK,NYK vs. CHI,2018-11-05,L,290,115,41,106,0.387,7,26,0.269,26,29,0.897,21,41,62,20,7,6,18,27,-1
NOP,NOP @ OKC,2018-11-05,L,240,116,41,84,0.488,9,29,0.310,25,30,0.833,11,34,45,27,8,5,21,26,-6
OKC,OKC vs. NOP,2018-11-05,W,240,122,45,93,0.484,10,27,0.370,22,31,0.710,9,32,41,26,15,3,12,23,6
CLE,CLE @ ORL,2018-11-05,L,240,100,41,80,0.513,10,23,0.435,8,12,0.667,8,34,42,20,8,2,18,17,-2
ORL,ORL vs. CLE,2018-11-05,W,240,102,39,87,0.448,11,34,0.324,13,15,0.867,10,30,40,22,11,5,15,16,2
HOU,HOU @ IND,2018-11-05,W,240,98,34,76,0.447,15,47,0.319,15,16,0.938,5,34,39,23,9,6,17,24,4
IND,IND vs. HOU,2018-11-05,L,240,94,33,75,0.440,8,28,0.286,20,30,0.667,7,32,39,17,8,3,16,15,-4
NYK,NYK @ WAS,2018-11-04,L,240,95,39,93,0.419,5,27,0.185,12,16,0.750,15,36,51,19,5,5,20,28,-13
WAS,WAS vs. NYK,2018-11-04,W,240,108,36,83,0.434,6,26,0.231,30,39,0.769,15,32,47,21,12,11,13,18,13
SAC,SAC @ MIL,2018-11-04,L,240,109,42,95,0.442,14,36,0.389,11,22,0.500,8,36,44,24,6,4,15,26,-35
MIL,MIL vs. SAC,2018-11-04,W,240,144,46,95,0.484,22,56,0.393,30,33,0.909,10,46,56,30,6,7,13,20,35
LAL,LAL vs. TOR,2018-11-04,L,240,107,39,85,0.459,6,24,0.250,23,29,0.793,6,32,38,25,6,4,16,18,-14
TOR,TOR @ LAL,2018-11-04,W,240,121,49,98,0.500,10,35,0.286,13,14,0.929,13,36,49,32,9,4,13,24,14
POR,POR vs. MIN,2018-11-04,W,240,111,38,86,0.442,7,28,0.250,28,32,0.875,17,49,66,15,7,1,17,20,30
MIN,MIN @ POR,2018-11-04,L,240,81,29,93,0.312,7,30,0.233,16,21,0.762,13,25,38,18,9,4,11,21,-30
BKN,BKN vs. PHI,2018-11-04,W,240,122,50,105,0.476,9,28,0.321,13,18,0.722,15,23,38,27,11,3,9,28,25
PHI,PHI @ BKN,2018-11-04,L,240,97,31,65,0.477,4,20,0.200,31,41,0.756,9,37,46,16,6,1,28,21,-25
PHX,PHX vs. MEM,2018-11-04,W,240,102,33,64,0.516,14,32,0.438,22,26,0.846,5,32,37,25,7,3,25,27,2
MEM,MEM @ PHX,2018-11-04,L,240,100,36,76,0.474,7,23,0.304,21,29,0.724,9,21,30,19,13,3,13,21,-2
ORL,ORL @ SAS,2018-11-04,W,240,117,46,91,0.505,12,32,0.375,13,18,0.722,11,32,43,29,7,4,9,22,7
SAS,SAS vs. ORL,2018-11-04,L,240,110,38,88,0.432,12,35,0.343,22,25,0.880,10,33,43,25,3,5,11,21,-7
CHA,CHA vs. CLE,2018-11-03,W,240,126,52,91,0.571,10,30,0.333,12,13,0.923,12,38,50,29,3,7,15,17,32
CLE,CLE @ CHA,2018-11-03,L,240,94,35,81,0.432,10,26,0.385,14,15,0.933,3,23,26,22,10,2,15,20,-32
DEN,DEN vs. UTA,2018-11-03,W,240,103,41,83,0.494,9,28,0.321,12,19,0.632,8,40,48,32,8,0,17,26,15
UTA,UTA @ DEN,2018-11-03,L,240,88,33,81,0.407,6,31,0.194,16,24,0.667,10,30,40,22,12,7,13,21,-15
MIA,MIA @ ATL,2018-11-03,L,240,118,41,85,0.482,16,40,0.400,20,26,0.769,13,28,41,27,6,6,18,20,-5
ATL,ATL vs. MIA,2018-11-03,W,240,123,46,88,0.523,13,32,0.406,18,23,0.783,8,29,37,33,11,7,18,21,5
BOS,BOS @ IND,2018-11-03,L,240,101,38,88,0.432,19,46,0.413,6,9,0.667,10,35,45,23,6,8,14,20,-1
IND,IND vs. BOS,2018-11-03,W,240,102,36,86,0.419,11,32,0.344,19,25,0.760,8,37,45,23,10,2,13,16,1
POR,POR vs. LAL,2018-11-03,L,240,110,44,104,0.423,6,35,0.171,16,22,0.727,16,34,50,20,10,5,14,21,-4
LAL,LAL @ POR,2018-11-03,W,240,114,45,86,0.523,8,21,0.381,16,25,0.640,9,41,50,20,9,11,20,22,4
CHI,CHI vs. HOU,2018-11-03,L,240,88,28,71,0.394,6,23,0.261,26,27,0.963,4,33,37,16,13,4,19,18,-8
HOU,HOU @ CHI,2018-11-03,W,240,96,35,83,0.422,13,42,0.310,13,20,0.650,10,35,45,21,13,5,19,22,8
SAS,SAS vs. NOP,2018-11-03,W,240,109,45,96,0.469,8,23,0.348,11,14,0.786,8,35,43,29,8,4,9,21,14
NOP,NOP @ SAS,2018-11-03,L,240,95,36,77,0.468,6,21,0.286,17,30,0.567,6,42,48,22,3,8,16,21,-14
PHI,PHI vs. DET,2018-11-03,W,240,109,28,69,0.406,9,29,0.310,44,51,0.863,3,42,45,21,11,3,18,31,10
DET,DET @ PHI,2018-11-03,L,240,99,33,83,0.398,5,30,0.167,28,41,0.683,7,37,44,16,8,3,17,32,-10
OKC,OKC @ WAS,2018-11-02,W,240,134,49,86,0.570,15,32,0.469,21,26,0.808,7,31,38,34,13,5,13,20,23
WAS,WAS vs. OKC,2018-11-02,L,240,111,44,86,0.512,9,30,0.300,14,18,0.778,6,24,30,27,6,4,19,21,-23
UTA,UTA vs. MEM,2018-11-02,L,240,100,36,77,0.468,14,36,0.389,14,25,0.560,10,29,39,21,3,5,14,25,-10
MEM,MEM @ UTA,2018-11-02,W,240,110,38,75,0.507,13,26,0.500,21,34,0.618,9,30,39,23,9,3,11,29,10
NYK,NYK @ DAL,2018-11-02,W,240,118,46,84,0.548,7,29,0.241,19,26,0.731,10,30,40,26,13,4,12,24,12
DAL,DAL vs. NYK,2018-11-02,L,240,106,40,81,0.494,11,29,0.379,15,24,0.625,11,29,40,22,6,1,19,28,-12
ORL,ORL vs. LAC,2018-11-02,L,240,95,40,90,0.444,4,17,0.235,11,19,0.579,8,32,40,20,7,4,10,24,-25
LAC,LAC @ ORL,2018-11-02,W,240,120,41,86,0.477,13,26,0.500,25,33,0.758,10,40,50,22,5,3,14,23,25
BKN,BKN vs. HOU,2018-11-02,L,240,111,42,85,0.494,15,34,0.441,12,20,0.600,9,29,38,22,5,4,12,28,-8
HOU,HOU @ BKN,2018-11-02,W,240,119,41,83,0.494,15,39,0.385,22,32,0.688,11,30,41,22,4,10,9,21,8
TOR,TOR @ PHX,2018-11-02,W,240,107,41,81,0.506,12,33,0.364,13,21,0.619,6,33,39,29,11,10,14,23,9
PHX,PHX vs. TOR,2018-11-02,L,240,98,40,91,0.440,8,26,0.308,10,18,0.556,12,37,49,20,3,4,16,18,-9
IND,IND @ CHI,2018-11-02,W,240,107,40,85,0.471,7,26,0.269,20,22,0.909,9,33,42,21,8,9,11,13,2
CHI,CHI vs. IND,2018-11-02,L,240,105,42,89,0.472,13,31,0.419,8,9,0.889,11,32,43,33,2,7,14,20,-2
MIN,MIN @ GSW,2018-11-02,L,240,99,38,101,0.376,13,45,0.289,10,14,0.714,8,31,39,25,8,4,5,16,-17
GSW,GSW vs. MIN,2018-11-02,W,240,116,43,88,0.489,13,34,0.382,17,22,0.773,12,49,61,31,3,9,16,16,17
OKC,OKC @ CHA,2018-11-01,W,240,111,41,96,0.427,8,37,0.216,21,29,0.724,14,35,49,20,12,9,10,21,4
CHA,CHA vs. OKC,2018-11-01,L,240,107,38,93,0.409,11,41,0.268,20,22,0.909,11,40,51,26,7,3,18,26,-4
ATL,ATL vs. SAC,2018-11-01,L,240,115,42,87,0.483,8,31,0.258,23,34,0.676,10,33,43,26,6,6,22,28,-31
SAC,SAC @ ATL,2018-11-01,W,240,146,53,98,0.541,14,35,0.400,26,32,0.813,10,36,46,38,14,3,14,29,31
POR,POR vs. NOP,2018-11-01,W,240,132,44,87,0.506,18,35,0.514,26,31,0.839,8,38,46,26,4,4,14,30,13
NOP,NOP @ POR,2018-11-01,L,240,119,40,94,0.426,8,29,0.276,31,37,0.838,14,30,44,23,7,3,13,24,-13
DEN,DEN @ CLE,2018-11-01,W,240,110,41,85,0.482,10,26,0.385,18,21,0.857,14,30,44,22,8,7,12,18,19
CLE,CLE vs. DEN,2018-11-01,L,240,91,34,83,0.410,5,18,0.278,18,19,0.947,13,22,35,18,11,4,14,22,-19
BOS,BOS vs. MIL,2018-11-01,W,240,117,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,13,23,4
MIL,MIL @ BOS,2018-11-01,L,240,113,41,85,0.482,9,29,0.310,22,30,0.733,8,37,45,20,8,3,14,20,-4
LAC,LAC @ PHI,2018-11-01,L,240,113,38,86,0.442,9,23,0.391,28,33,0.848,8,34,42,19,6,7,18,28,-9
PHI,PHI vs. LAC,2018-11-01,W,240,122,44,93,0.473,13,27,0.481,21,28,0.750,10,33,43,29,7,7,16,30,9
