Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC @ POR,2019-04-23,L,240,115,47,86,0.547,12,27,0.444,9,15,0.600,6,33,39,24,4,8,15,22,-3
POR,POR vs. OKC,2019-04-23,W,240,118,45,96,0.469,13,35,0.371,15,23,0.652,13,32,45,22,8,5,10,18,3
DEN,DEN vs. SAS,2019-04-23,W,240,108,39,78,0.500,14,33,0.424,16,20,0.800,7,42,49,25,4,6,14,21,18
SAS,SAS @ DEN,2019-04-23,L,240,90,37,90,0.411,7,24,0.292,9,15,0.600,10,32,42,17,6,3,8,20,-18
BKN,BKN @ PHI,2019-04-23,L,240,100,36,93,0.387,9,31,0.290,19,25,0.760,9,32,41,26,10,4,15,13,-22
PHI,PHI vs. BKN,2019-04-23,W,240,122,51,100,0.510,14,33,0.424,6,9,0.667,11,45,56,35,10,3,20,21,22
TOR,TOR vs. ORL,2019-04-23,W,240,115,41,85,0.482,15,36,0.417,18,21,0.857,8,40,48,34,8,3,14,30,19
ORL,ORL @ TOR,2019-04-23,L,240,96,32,83,0.386,9,34,0.265,23,31,0.742,12,36,48,20,7,5,17,21,-19
