C,1000
class_weight,None
dual,False
fit_intercept,True
intercept_scaling,1
max_iter,200
multi_class,ovr
n_jobs,-1
penalty,l2
random_state,None
solver,liblinear
tol,0.0001
verbose,0
warm_start,False
max_score,0.6743864236331522
Execution time =,62.283706188201904
