Accuracy Report
featureSel,3
Predict from,2019-04-13
Predict to,2019-06-20
Model/Train ID,2016-08-01_to_2019-04-10_feature3_period5
team_A,None
team_B,None
-----,-----
LogiRegr_GS,0.6842105263157895
SVM_GS,0.6666666666666666
XGBoost_GS,0.5964912280701754
RandomForest_GS,0.6842105263157895
GBDT_GS,0.6491228070175439
AdaBoost_GS,0.631578947368421
