Accuracy Report
featureSel,3
Predict from,2019-04-23
Predict to,2019-06-08
Model/Train ID,2016-08-01_to_2019-04-10_feature3_period5
team_A,None
team_B,None
-----,-----
LogiRegr_GS,1.0
SVM_GS,1.0
XGBoost_GS,1.0
RandomForest_GS,1.0
GBDT_GS,1.0
AdaBoost_GS,1.0
