Accuracy Report
featureSel,3
Predict from,2019-04-13
Predict to,2019-04-20
Model/Train ID,2016-08-01_to_2019-04-10_feature3_period5
team_A,OKC
team_B,None
-----,-----
LogiRegr_GS,0.5
SVM_GS,0.5
XGBoost_GS,0.5
RandomForest_GS,0.5
GBDT_GS,1.0
AdaBoost_GS,0.5
