Accuracy Report
featureSel,3
Predict from,2018-04-14
Predict to,2018-06-08
Model/Train ID,2015-08-01_to_2018-04-13_feature3_period5
team_A,HOU
team_B,GSW
-----,-----
LogiRegr,0.42857142857142855
LogiRegr_GS,0.42857142857142855
SVM,0.2857142857142857
SVM_GS,0.42857142857142855
XGBoost,0.42857142857142855
XGBoost_GS,0.7142857142857143
RandomForest,0.5714285714285714
RandomForest_GS,0.5714285714285714
GBDT,0.5714285714285714
GBDT_GS,0.2857142857142857
AdaBoost,0.2857142857142857
AdaBoost_GS,0.7142857142857143
