Accuracy Report
featureSel,3
Predict from,2019-04-13
Predict to,2019-06-20
Model/Train ID,2016-08-01_to_2019-04-10_feature3_period5
team_A,None
team_B,None
-----,-----
LogiRegr_GS,0.6716417910447762
SVM_GS,0.6716417910447762
XGBoost_GS,0.6268656716417911
RandomForest_GS,0.6716417910447762
GBDT_GS,0.5970149253731343
AdaBoost_GS,0.6567164179104478
