Accuracy Report
featureSel,3
Predict from,2019-04-13
Predict to,2019-04-22
Model/Train ID,2016-08-01_to_2019-04-10_feature3_period5
team_A,None
team_B,None
-----,-----
LogiRegr_GS,0.625
SVM_GS,0.59375
XGBoost_GS,0.53125
RandomForest_GS,0.625
GBDT_GS,0.65625
AdaBoost_GS,0.59375
