Accuracy Report
featureSel,3
Predict from,2018-10-21
Predict to,2018-11-24
Model/Train ID,2015-08-01_to_2018-04-13_feature3_period5
team_A,GSW
team_B,None
-----,-----
LogiRegr,0.8947368421052632
LogiRegr_GS,0.8421052631578947
SVM,0.5789473684210527
SVM_GS,0.8947368421052632
XGBoost,0.7894736842105263
XGBoost_GS,0.7894736842105263
RandomForest,0.631578947368421
RandomForest_GS,0.7368421052631579
GBDT,0.7894736842105263
GBDT_GS,0.6842105263157895
AdaBoost,0.8421052631578947
AdaBoost_GS,0.8421052631578947
