Accuracy Report
featureSel,3
Predict from,2018-10-21
Predict to,2018-11-24
Model/Train ID,2015-08-01_to_2018-04-13_feature3_period5
team_A,CLE
team_B,None
-----,-----
LogiRegr,0.6875
LogiRegr_GS,0.6875
SVM,0.6875
SVM_GS,0.6875
XGBoost,0.8125
XGBoost_GS,0.75
RandomForest,0.4375
RandomForest_GS,0.625
GBDT,0.8125
GBDT_GS,0.5
AdaBoost,0.6875
AdaBoost_GS,0.625
